attendance_id,employee_id,attendance_date,attendance_status,hours_worked,overtime_hours
ATT-000031,EMP-0032,2025-02-01,Present,7.5,0.5
ATT-000032,EMP-0033,2025-02-02,Leave,6.0,1.0
ATT-000033,EMP-0034,2025-02-03,Remote,6.5,0.0
ATT-000034,EMP-0035,2025-02-04,Present,7.0,0.5
ATT-000035,EMP-0036,2025-02-05,Present,7.5,1.0
ATT-000036,EMP-0037,2025-02-06,Leave,6.0,0.0
ATT-000037,EMP-0038,2025-02-07,Remote,6.5,0.5
ATT-000038,EMP-0039,2025-02-08,Present,7.0,1.0
ATT-000039,EMP-0040,2025-02-09,Leave,7.5,0.0
ATT-000040,EMP-0041,2025-02-10,Remote,6.0,0.5
ATT-000041,EMP-0042,2025-02-11,Present,6.5,1.0
ATT-000042,EMP-0043,2025-02-12,Present,7.0,0.0
ATT-000043,EMP-0044,2025-02-13,Leave,7.5,0.5
ATT-000044,EMP-0045,2025-02-14,Remote,6.0,1.0
ATT-000045,EMP-0046,2025-02-15,Present,6.5,0.0
ATT-000046,EMP-0047,2025-02-16,Leave,7.0,0.5
ATT-000047,EMP-0048,2025-02-17,Remote,7.5,1.0
ATT-000048,EMP-0049,2025-02-18,Present,6.0,0.0
ATT-000049,EMP-0050,2025-02-19,Present,6.5,0.5
ATT-000050,EMP-0051,2025-02-20,Leave,7.0,1.0
ATT-000051,EMP-0052,2025-02-21,Remote,7.5,0.0
ATT-000052,EMP-0053,2025-02-22,Present,6.0,0.5
ATT-000053,EMP-0054,2025-02-23,Leave,6.5,1.0
ATT-000054,EMP-0055,2025-02-24,Remote,7.0,0.0
ATT-000055,EMP-0056,2025-02-25,Present,7.5,0.5
ATT-000056,EMP-0057,2025-02-26,Present,6.0,1.0
ATT-000057,EMP-0058,2025-02-27,Leave,6.5,0.0
ATT-000058,EMP-0059,2025-02-28,Remote,7.0,0.5
ATT-000059,EMP-0060,2025-03-01,Present,7.5,1.0
ATT-000060,EMP-0001,2025-03-02,Leave,6.0,0.0
ATT-000061,EMP-0002,2025-03-03,Remote,6.5,0.5
ATT-000062,EMP-0003,2025-03-04,Present,7.0,1.0
ATT-000063,EMP-0004,2025-03-05,Present,7.5,0.0
ATT-000064,EMP-0005,2025-03-06,Leave,6.0,0.5
ATT-000065,EMP-0006,2025-03-07,Remote,6.5,1.0
ATT-000066,EMP-0007,2025-03-08,Present,7.0,0.0
ATT-000067,EMP-0008,2025-03-09,Leave,7.5,0.5
ATT-000068,EMP-0009,2025-03-10,Remote,6.0,1.0
ATT-000069,EMP-0010,2025-03-11,Present,6.5,0.0
ATT-000070,EMP-0011,2025-03-12,Present,7.0,0.5
ATT-000071,EMP-0012,2025-03-13,Leave,7.5,1.0
ATT-000072,EMP-0013,2025-03-14,Remote,6.0,0.0
ATT-000073,EMP-0014,2025-03-15,Present,6.5,0.5
ATT-000074,EMP-0015,2025-03-16,Leave,7.0,1.0
ATT-000075,EMP-0016,2025-03-17,Remote,7.5,0.0
ATT-000076,EMP-0017,2025-03-18,Present,6.0,0.5
ATT-000077,EMP-0018,2025-03-19,Present,6.5,1.0
ATT-000078,EMP-0019,2025-03-20,Leave,7.0,0.0
ATT-000079,EMP-0020,2025-03-21,Remote,7.5,0.5
ATT-000080,EMP-0021,2025-03-22,Present,6.0,1.0
ATT-000081,EMP-0022,2025-03-23,Leave,6.5,0.0
ATT-000082,EMP-0023,2025-03-24,Remote,7.0,0.5
ATT-000083,EMP-0024,2025-03-25,Present,7.5,1.0
ATT-000084,EMP-0025,2025-03-26,Present,6.0,0.0
ATT-000085,EMP-0026,2025-03-27,Leave,6.5,0.5
ATT-000086,EMP-0027,2025-03-28,Remote,7.0,1.0
ATT-000087,EMP-0028,2025-03-29,Present,7.5,0.0
ATT-000088,EMP-0029,2025-03-30,Leave,6.0,0.5
ATT-000089,EMP-0030,2025-03-31,Remote,6.5,1.0
ATT-000090,EMP-0031,2025-04-01,Present,7.0,0.0
ATT-000091,EMP-0032,2025-04-02,Present,7.5,0.5
ATT-000092,EMP-0033,2025-04-03,Leave,6.0,1.0
ATT-000093,EMP-0034,2025-04-04,Remote,6.5,0.0
ATT-000094,EMP-0035,2025-04-05,Present,7.0,0.5
ATT-000095,EMP-0036,2025-04-06,Leave,7.5,1.0
ATT-000096,EMP-0037,2025-04-07,Remote,6.0,0.0
ATT-000097,EMP-0038,2025-04-08,Present,6.5,0.5
ATT-000098,EMP-0039,2025-04-09,Present,7.0,1.0
ATT-000099,EMP-0040,2025-04-10,Leave,7.5,0.0
ATT-000100,EMP-0041,2025-04-11,Remote,6.0,0.5
ATT-000101,EMP-0042,2025-04-12,Present,6.5,1.0
ATT-000102,EMP-0043,2025-04-13,Leave,7.0,0.0
ATT-000103,EMP-0044,2025-04-14,Remote,7.5,0.5
ATT-000104,EMP-0045,2025-04-15,Present,6.0,1.0
ATT-000105,EMP-0046,2025-04-16,Present,6.5,0.0
ATT-000106,EMP-0047,2025-04-17,Leave,7.0,0.5
ATT-000107,EMP-0048,2025-04-18,Remote,7.5,1.0
ATT-000108,EMP-0049,2025-04-19,Present,6.0,0.0
ATT-000109,EMP-0050,2025-04-20,Leave,6.5,0.5
ATT-000110,EMP-0051,2025-04-21,Remote,7.0,1.0
ATT-000111,EMP-0052,2025-04-22,Present,7.5,0.0
ATT-000112,EMP-0053,2025-04-23,Present,6.0,0.5
ATT-000113,EMP-0054,2025-04-24,Leave,6.5,1.0
ATT-000114,EMP-0055,2025-04-25,Remote,7.0,0.0
ATT-000115,EMP-0056,2025-04-26,Present,7.5,0.5
ATT-000116,EMP-0057,2025-04-27,Leave,6.0,1.0
ATT-000117,EMP-0058,2025-04-28,Remote,6.5,0.0
ATT-000118,EMP-0059,2025-04-29,Present,7.0,0.5
ATT-000119,EMP-0060,2025-04-30,Present,7.5,1.0
ATT-000120,EMP-0001,2025-05-01,Leave,6.0,0.0
ATT-000121,EMP-0002,2025-05-02,Remote,6.5,0.5
ATT-000122,EMP-0003,2025-05-03,Present,7.0,1.0
ATT-000123,EMP-0004,2025-05-04,Leave,7.5,0.0
ATT-000124,EMP-0005,2025-05-05,Remote,6.0,0.5
ATT-000125,EMP-0006,2025-05-06,Present,6.5,1.0
ATT-000126,EMP-0007,2025-05-07,Present,7.0,0.0
ATT-000127,EMP-0008,2025-05-08,Leave,7.5,0.5
ATT-000128,EMP-0009,2025-05-09,Remote,6.0,1.0
ATT-000129,EMP-0010,2025-05-10,Present,6.5,0.0
ATT-000130,EMP-0011,2025-05-11,Leave,7.0,0.5
ATT-000131,EMP-0012,2025-05-12,Remote,7.5,1.0
ATT-000132,EMP-0013,2025-05-13,Present,6.0,0.0
ATT-000133,EMP-0014,2025-05-14,Present,6.5,0.5
ATT-000134,EMP-0015,2025-05-15,Leave,7.0,1.0
ATT-000135,EMP-0016,2025-05-16,Remote,7.5,0.0
ATT-000136,EMP-0017,2025-05-17,Present,6.0,0.5
ATT-000137,EMP-0018,2025-05-18,Leave,6.5,1.0
ATT-000138,EMP-0019,2025-05-19,Remote,7.0,0.0
ATT-000139,EMP-0020,2025-05-20,Present,7.5,0.5
ATT-000140,EMP-0021,2025-05-21,Present,6.0,1.0
ATT-000141,EMP-0022,2025-05-22,Leave,6.5,0.0
ATT-000142,EMP-0023,2025-05-23,Remote,7.0,0.5
ATT-000143,EMP-0024,2025-05-24,Present,7.5,1.0
ATT-000144,EMP-0025,2025-05-25,Leave,6.0,0.0
ATT-000145,EMP-0026,2025-05-26,Remote,6.5,0.5
ATT-000146,EMP-0027,2025-05-27,Present,7.0,1.0
ATT-000147,EMP-0028,2025-05-28,Present,7.5,0.0
ATT-000148,EMP-0029,2025-05-29,Leave,6.0,0.5
ATT-000149,EMP-0030,2025-05-30,Remote,6.5,1.0
ATT-000150,EMP-0031,2025-05-31,Present,7.0,0.0
ATT-000151,EMP-0032,2025-06-01,Leave,7.5,0.5
ATT-000152,EMP-0033,2025-06-02,Remote,6.0,1.0
ATT-000153,EMP-0034,2025-06-03,Present,6.5,0.0
ATT-000154,EMP-0035,2025-06-04,Present,7.0,0.5
ATT-000155,EMP-0036,2025-06-05,Leave,7.5,1.0
ATT-000156,EMP-0037,2025-06-06,Remote,6.0,0.0
ATT-000157,EMP-0038,2025-06-07,Present,6.5,0.5
ATT-000158,EMP-0039,2025-06-08,Leave,7.0,1.0
ATT-000159,EMP-0040,2025-06-09,Remote,7.5,0.0
ATT-000160,EMP-0041,2025-06-10,Present,6.0,0.5
ATT-000161,EMP-0042,2025-06-11,Present,6.5,1.0
ATT-000162,EMP-0043,2025-06-12,Leave,7.0,0.0
ATT-000163,EMP-0044,2025-06-13,Remote,7.5,0.5
ATT-000164,EMP-0045,2025-06-14,Present,6.0,1.0
ATT-000165,EMP-0046,2025-06-15,Leave,6.5,0.0
ATT-000166,EMP-0047,2025-06-16,Remote,7.0,0.5
ATT-000167,EMP-0048,2025-06-17,Present,7.5,1.0
ATT-000168,EMP-0049,2025-06-18,Present,6.0,0.0
ATT-000169,EMP-0050,2025-06-19,Leave,6.5,0.5
ATT-000170,EMP-0051,2025-06-20,Remote,7.0,1.0
ATT-000171,EMP-0052,2025-06-21,Present,7.5,0.0
ATT-000172,EMP-0053,2025-06-22,Leave,6.0,0.5
ATT-000173,EMP-0054,2025-06-23,Remote,6.5,1.0
ATT-000174,EMP-0055,2025-06-24,Present,7.0,0.0
ATT-000175,EMP-0056,2025-06-25,Present,7.5,0.5
ATT-000176,EMP-0057,2025-06-26,Leave,6.0,1.0
ATT-000177,EMP-0058,2025-06-27,Remote,6.5,0.0
ATT-000178,EMP-0059,2025-06-28,Present,7.0,0.5
ATT-000179,EMP-0060,2025-06-29,Leave,7.5,1.0
ATT-000180,EMP-0001,2025-06-30,Remote,6.0,0.0
ATT-000181,EMP-0002,2025-07-01,Present,6.5,0.5
ATT-000182,EMP-0003,2025-07-02,Present,7.0,1.0
ATT-000183,EMP-0004,2025-07-03,Leave,7.5,0.0
ATT-000184,EMP-0005,2025-07-04,Remote,6.0,0.5
ATT-000185,EMP-0006,2025-07-05,Present,6.5,1.0
ATT-000186,EMP-0007,2025-07-06,Leave,7.0,0.0
ATT-000187,EMP-0008,2025-07-07,Remote,7.5,0.5
ATT-000188,EMP-0009,2025-07-08,Present,6.0,1.0
ATT-000189,EMP-0010,2025-07-09,Present,6.5,0.0
ATT-000190,EMP-0011,2025-07-10,Leave,7.0,0.5
ATT-000191,EMP-0012,2025-07-11,Remote,7.5,1.0
ATT-000192,EMP-0013,2025-07-12,Present,6.0,0.0
ATT-000193,EMP-0014,2025-07-13,Leave,6.5,0.5
ATT-000194,EMP-0015,2025-07-14,Remote,7.0,1.0
ATT-000195,EMP-0016,2025-07-15,Present,7.5,0.0
ATT-000196,EMP-0017,2025-07-16,Present,6.0,0.5
ATT-000197,EMP-0018,2025-07-17,Leave,6.5,1.0
ATT-000198,EMP-0019,2025-07-18,Remote,7.0,0.0
ATT-000199,EMP-0020,2025-07-19,Present,7.5,0.5
ATT-000200,EMP-0021,2025-07-20,Leave,6.0,1.0
ATT-000201,EMP-0022,2025-07-21,Remote,6.5,0.0
ATT-000202,EMP-0023,2025-07-22,Present,7.0,0.5
ATT-000203,EMP-0024,2025-07-23,Present,7.5,1.0
ATT-000204,EMP-0025,2025-07-24,Leave,6.0,0.0
ATT-000205,EMP-0026,2025-07-25,Remote,6.5,0.5
ATT-000206,EMP-0027,2025-07-26,Present,7.0,1.0
ATT-000207,EMP-0028,2025-07-27,Leave,7.5,0.0
ATT-000208,EMP-0029,2025-07-28,Remote,6.0,0.5
ATT-000209,EMP-0030,2025-07-29,Present,6.5,1.0
ATT-000210,EMP-0031,2025-07-30,Present,7.0,0.0
ATT-000211,EMP-0032,2025-07-31,Leave,7.5,0.5
ATT-000212,EMP-0033,2025-08-01,Remote,6.0,1.0
ATT-000213,EMP-0034,2025-08-02,Present,6.5,0.0
ATT-000214,EMP-0035,2025-08-03,Leave,7.0,0.5
ATT-000215,EMP-0036,2025-08-04,Remote,7.5,1.0
ATT-000216,EMP-0037,2025-08-05,Present,6.0,0.0
ATT-000217,EMP-0038,2025-08-06,Present,6.5,0.5
ATT-000218,EMP-0039,2025-08-07,Leave,7.0,1.0
ATT-000219,EMP-0040,2025-08-08,Remote,7.5,0.0
ATT-000220,EMP-0041,2025-08-09,Present,6.0,0.5
ATT-000221,EMP-0042,2025-08-10,Leave,6.5,1.0
ATT-000222,EMP-0043,2025-08-11,Remote,7.0,0.0
ATT-000223,EMP-0044,2025-08-12,Present,7.5,0.5
ATT-000224,EMP-0045,2025-08-13,Present,6.0,1.0
ATT-000225,EMP-0046,2025-08-14,Leave,6.5,0.0
ATT-000226,EMP-0047,2025-08-15,Remote,7.0,0.5
ATT-000227,EMP-0048,2025-08-16,Present,7.5,1.0
ATT-000228,EMP-0049,2025-08-17,Leave,6.0,0.0
ATT-000229,EMP-0050,2025-08-18,Remote,6.5,0.5
ATT-000230,EMP-0051,2025-08-19,Present,7.0,1.0
ATT-000231,EMP-0052,2025-08-20,Present,7.5,0.0
ATT-000232,EMP-0053,2025-08-21,Leave,6.0,0.5
ATT-000233,EMP-0054,2025-08-22,Remote,6.5,1.0
ATT-000234,EMP-0055,2025-08-23,Present,7.0,0.0
ATT-000235,EMP-0056,2025-08-24,Leave,7.5,0.5
ATT-000236,EMP-0057,2025-08-25,Remote,6.0,1.0
ATT-000237,EMP-0058,2025-08-26,Present,6.5,0.0
ATT-000238,EMP-0059,2025-08-27,Present,7.0,0.5
ATT-000239,EMP-0060,2025-08-28,Leave,7.5,1.0
ATT-000240,EMP-0001,2025-08-29,Remote,6.0,0.0
