payroll_id,employee_id,pay_period,gross_salary,bonus_amount,tax_deducted
PAY-000094,EMP-0035,2025-01-21,89200,6000,10120
PAY-000095,EMP-0036,2025-02-20,90500,0,10300
PAY-000096,EMP-0037,2025-03-22,91800,1500,10480
PAY-000097,EMP-0038,2025-04-21,93100,3000,10660
PAY-000098,EMP-0039,2025-05-21,94400,4500,10840
PAY-000099,EMP-0040,2025-06-20,95700,6000,11020
PAY-000100,EMP-0041,2025-07-20,97000,0,11200
PAY-000101,EMP-0042,2025-08-19,98300,1500,11380
PAY-000102,EMP-0043,2025-09-18,99600,3000,11560
PAY-000103,EMP-0044,2025-10-18,100900,4500,11740
PAY-000104,EMP-0045,2025-11-17,102200,6000,11920
PAY-000105,EMP-0046,2025-12-17,103500,0,12100
PAY-000106,EMP-0047,2026-01-16,104800,1500,12280
PAY-000107,EMP-0048,2026-02-15,106100,3000,12460
PAY-000108,EMP-0049,2026-03-17,107400,4500,12640
PAY-000109,EMP-0050,2026-04-16,108700,6000,12820
PAY-000110,EMP-0051,2026-05-16,110000,0,13000
PAY-000111,EMP-0052,2026-06-15,111300,1500,13180
PAY-000112,EMP-0053,2026-07-15,112600,3000,13360
PAY-000113,EMP-0054,2026-08-14,113900,4500,13540
PAY-000114,EMP-0055,2026-09-13,115200,6000,13720
PAY-000115,EMP-0056,2026-10-13,116500,0,13900
PAY-000116,EMP-0057,2026-11-12,117800,1500,14080
PAY-000117,EMP-0058,2025-01-11,119100,3000,14260
PAY-000118,EMP-0059,2025-02-10,120400,4500,14440
PAY-000119,EMP-0060,2025-03-12,121700,6000,14620
PAY-000120,EMP-0001,2025-04-11,45000,0,4000
