order_item_id,order_id,product_id,quantity,unit_price,line_amount
OI-000086,ORD-000087,PRD-0027,2,515.75,1031.5
OI-000087,ORD-000088,PRD-0028,3,533.0,1599.0
OI-000088,ORD-000089,PRD-0029,4,550.25,2201.0
OI-000089,ORD-000090,PRD-0030,5,567.5,2837.5
OI-000090,ORD-000091,PRD-0001,1,67.25,67.25
OI-000091,ORD-000092,PRD-0002,2,84.5,169.0
OI-000092,ORD-000093,PRD-0003,3,101.75,305.25
OI-000093,ORD-000094,PRD-0004,4,119.0,476.0
OI-000094,ORD-000095,PRD-0005,5,136.25,681.25
OI-000095,ORD-000096,PRD-0006,1,153.5,153.5
OI-000096,ORD-000097,PRD-0007,2,170.75,341.5
OI-000097,ORD-000098,PRD-0008,3,188.0,564.0
OI-000098,ORD-000099,PRD-0009,4,205.25,821.0
OI-000099,ORD-000100,PRD-0010,5,222.5,1112.5
OI-000100,ORD-000101,PRD-0011,1,239.75,239.75
OI-000101,ORD-000102,PRD-0012,2,257.0,514.0
OI-000102,ORD-000103,PRD-0013,3,274.25,822.75
OI-000103,ORD-000104,PRD-0014,4,291.5,1166.0
OI-000104,ORD-000105,PRD-0015,5,308.75,1543.75
OI-000105,ORD-000106,PRD-0016,1,326.0,326.0
OI-000106,ORD-000107,PRD-0017,2,343.25,686.5
OI-000107,ORD-000108,PRD-0018,3,360.5,1081.5
OI-000108,ORD-000109,PRD-0019,4,377.75,1511.0
OI-000109,ORD-000110,PRD-0020,5,395.0,1975.0
OI-000110,ORD-000111,PRD-0021,1,412.25,412.25
OI-000111,ORD-000112,PRD-0022,2,429.5,859.0
OI-000112,ORD-000113,PRD-0023,3,446.75,1340.25
OI-000113,ORD-000114,PRD-0024,4,464.0,1856.0
OI-000114,ORD-000115,PRD-0025,5,481.25,2406.25
OI-000115,ORD-000116,PRD-0026,1,498.5,498.5
OI-000116,ORD-000117,PRD-0027,2,515.75,1031.5
OI-000117,ORD-000118,PRD-0028,3,533.0,1599.0
OI-000118,ORD-000119,PRD-0029,4,550.25,2201.0
OI-000119,ORD-000120,PRD-0030,5,567.5,2837.5
OI-000120,ORD-000121,PRD-0001,1,67.25,67.25
OI-000121,ORD-000122,PRD-0002,2,84.5,169.0
OI-000122,ORD-000123,PRD-0003,3,101.75,305.25
OI-000123,ORD-000124,PRD-0004,4,119.0,476.0
OI-000124,ORD-000125,PRD-0005,5,136.25,681.25
OI-000125,ORD-000126,PRD-0006,1,153.5,153.5
OI-000126,ORD-000127,PRD-0007,2,170.75,341.5
OI-000127,ORD-000128,PRD-0008,3,188.0,564.0
OI-000128,ORD-000129,PRD-0009,4,205.25,821.0
OI-000129,ORD-000130,PRD-0010,5,222.5,1112.5
OI-000130,ORD-000131,PRD-0011,1,239.75,239.75
OI-000131,ORD-000132,PRD-0012,2,257.0,514.0
OI-000132,ORD-000133,PRD-0013,3,274.25,822.75
OI-000133,ORD-000134,PRD-0014,4,291.5,1166.0
OI-000134,ORD-000135,PRD-0015,5,308.75,1543.75
OI-000135,ORD-000136,PRD-0016,1,326.0,326.0
OI-000136,ORD-000137,PRD-0017,2,343.25,686.5
OI-000137,ORD-000138,PRD-0018,3,360.5,1081.5
OI-000138,ORD-000139,PRD-0019,4,377.75,1511.0
OI-000139,ORD-000140,PRD-0020,5,395.0,1975.0
OI-000140,ORD-000001,PRD-0021,1,412.25,412.25
OI-000141,ORD-000002,PRD-0022,2,429.5,859.0
OI-000142,ORD-000003,PRD-0023,3,446.75,1340.25
OI-000143,ORD-000004,PRD-0024,4,464.0,1856.0
OI-000144,ORD-000005,PRD-0025,5,481.25,2406.25
OI-000145,ORD-000006,PRD-0026,1,498.5,498.5
OI-000146,ORD-000007,PRD-0027,2,515.75,1031.5
OI-000147,ORD-000008,PRD-0028,3,533.0,1599.0
OI-000148,ORD-000009,PRD-0029,4,550.25,2201.0
OI-000149,ORD-000010,PRD-0030,5,567.5,2837.5
OI-000150,ORD-000011,PRD-0001,1,67.25,67.25
OI-000151,ORD-000012,PRD-0002,2,84.5,169.0
OI-000152,ORD-000013,PRD-0003,3,101.75,305.25
OI-000153,ORD-000014,PRD-0004,4,119.0,476.0
OI-000154,ORD-000015,PRD-0005,5,136.25,681.25
OI-000155,ORD-000016,PRD-0006,1,153.5,153.5
OI-000156,ORD-000017,PRD-0007,2,170.75,341.5
OI-000157,ORD-000018,PRD-0008,3,188.0,564.0
OI-000158,ORD-000019,PRD-0009,4,205.25,821.0
OI-000159,ORD-000020,PRD-0010,5,222.5,1112.5
OI-000160,ORD-000021,PRD-0011,1,239.75,239.75
OI-000161,ORD-000022,PRD-0012,2,257.0,514.0
OI-000162,ORD-000023,PRD-0013,3,274.25,822.75
OI-000163,ORD-000024,PRD-0014,4,291.5,1166.0
OI-000164,ORD-000025,PRD-0015,5,308.75,1543.75
OI-000165,ORD-000026,PRD-0016,1,326.0,326.0
OI-000166,ORD-000027,PRD-0017,2,343.25,686.5
OI-000167,ORD-000028,PRD-0018,3,360.5,1081.5
OI-000168,ORD-000029,PRD-0019,4,377.75,1511.0
OI-000169,ORD-000030,PRD-0020,5,395.0,1975.0
OI-000170,ORD-000031,PRD-0021,1,412.25,412.25
OI-000171,ORD-000032,PRD-0022,2,429.5,859.0
OI-000172,ORD-000033,PRD-0023,3,446.75,1340.25
OI-000173,ORD-000034,PRD-0024,4,464.0,1856.0
OI-000174,ORD-000035,PRD-0025,5,481.25,2406.25
OI-000175,ORD-000036,PRD-0026,1,498.5,498.5
OI-000176,ORD-000037,PRD-0027,2,515.75,1031.5
OI-000177,ORD-000038,PRD-0028,3,533.0,1599.0
OI-000178,ORD-000039,PRD-0029,4,550.25,2201.0
OI-000179,ORD-000040,PRD-0030,5,567.5,2837.5
OI-000180,ORD-000041,PRD-0001,1,67.25,67.25
OI-000181,ORD-000042,PRD-0002,2,84.5,169.0
OI-000182,ORD-000043,PRD-0003,3,101.75,305.25
OI-000183,ORD-000044,PRD-0004,4,119.0,476.0
OI-000184,ORD-000045,PRD-0005,5,136.25,681.25
OI-000185,ORD-000046,PRD-0006,1,153.5,153.5
OI-000186,ORD-000047,PRD-0007,2,170.75,341.5
OI-000187,ORD-000048,PRD-0008,3,188.0,564.0
OI-000188,ORD-000049,PRD-0009,4,205.25,821.0
OI-000189,ORD-000050,PRD-0010,5,222.5,1112.5
OI-000190,ORD-000051,PRD-0011,1,239.75,239.75
OI-000191,ORD-000052,PRD-0012,2,257.0,514.0
OI-000192,ORD-000053,PRD-0013,3,274.25,822.75
OI-000193,ORD-000054,PRD-0014,4,291.5,1166.0
OI-000194,ORD-000055,PRD-0015,5,308.75,1543.75
OI-000195,ORD-000056,PRD-0016,1,326.0,326.0
OI-000196,ORD-000057,PRD-0017,2,343.25,686.5
OI-000197,ORD-000058,PRD-0018,3,360.5,1081.5
OI-000198,ORD-000059,PRD-0019,4,377.75,1511.0
OI-000199,ORD-000060,PRD-0020,5,395.0,1975.0
OI-000200,ORD-000061,PRD-0021,1,412.25,412.25
OI-000201,ORD-000062,PRD-0022,2,429.5,859.0
OI-000202,ORD-000063,PRD-0023,3,446.75,1340.25
OI-000203,ORD-000064,PRD-0024,4,464.0,1856.0
OI-000204,ORD-000065,PRD-0025,5,481.25,2406.25
OI-000205,ORD-000066,PRD-0026,1,498.5,498.5
OI-000206,ORD-000067,PRD-0027,2,515.75,1031.5
OI-000207,ORD-000068,PRD-0028,3,533.0,1599.0
OI-000208,ORD-000069,PRD-0029,4,550.25,2201.0
OI-000209,ORD-000070,PRD-0030,5,567.5,2837.5
OI-000210,ORD-000071,PRD-0001,1,67.25,67.25
OI-000211,ORD-000072,PRD-0002,2,84.5,169.0
OI-000212,ORD-000073,PRD-0003,3,101.75,305.25
OI-000213,ORD-000074,PRD-0004,4,119.0,476.0
OI-000214,ORD-000075,PRD-0005,5,136.25,681.25
OI-000215,ORD-000076,PRD-0006,1,153.5,153.5
OI-000216,ORD-000077,PRD-0007,2,170.75,341.5
OI-000217,ORD-000078,PRD-0008,3,188.0,564.0
OI-000218,ORD-000079,PRD-0009,4,205.25,821.0
OI-000219,ORD-000080,PRD-0010,5,222.5,1112.5
OI-000220,ORD-000081,PRD-0011,1,239.75,239.75
OI-000221,ORD-000082,PRD-0012,2,257.0,514.0
OI-000222,ORD-000083,PRD-0013,3,274.25,822.75
OI-000223,ORD-000084,PRD-0014,4,291.5,1166.0
OI-000224,ORD-000085,PRD-0015,5,308.75,1543.75
OI-000225,ORD-000086,PRD-0016,1,326.0,326.0
OI-000226,ORD-000087,PRD-0017,2,343.25,686.5
OI-000227,ORD-000088,PRD-0018,3,360.5,1081.5
OI-000228,ORD-000089,PRD-0019,4,377.75,1511.0
OI-000229,ORD-000090,PRD-0020,5,395.0,1975.0
OI-000230,ORD-000091,PRD-0021,1,412.25,412.25
OI-000231,ORD-000092,PRD-0022,2,429.5,859.0
OI-000232,ORD-000093,PRD-0023,3,446.75,1340.25
OI-000233,ORD-000094,PRD-0024,4,464.0,1856.0
OI-000234,ORD-000095,PRD-0025,5,481.25,2406.25
OI-000235,ORD-000096,PRD-0026,1,498.5,498.5
OI-000236,ORD-000097,PRD-0027,2,515.75,1031.5
OI-000237,ORD-000098,PRD-0028,3,533.0,1599.0
OI-000238,ORD-000099,PRD-0029,4,550.25,2201.0
OI-000239,ORD-000100,PRD-0030,5,567.5,2837.5
OI-000240,ORD-000101,PRD-0001,1,67.25,67.25
OI-000241,ORD-000102,PRD-0002,2,84.5,169.0
OI-000242,ORD-000103,PRD-0003,3,101.75,305.25
OI-000243,ORD-000104,PRD-0004,4,119.0,476.0
OI-000244,ORD-000105,PRD-0005,5,136.25,681.25
OI-000245,ORD-000106,PRD-0006,1,153.5,153.5
OI-000246,ORD-000107,PRD-0007,2,170.75,341.5
OI-000247,ORD-000108,PRD-0008,3,188.0,564.0
OI-000248,ORD-000109,PRD-0009,4,205.25,821.0
OI-000249,ORD-000110,PRD-0010,5,222.5,1112.5
OI-000250,ORD-000111,PRD-0011,1,239.75,239.75
OI-000251,ORD-000112,PRD-0012,2,257.0,514.0
OI-000252,ORD-000113,PRD-0013,3,274.25,822.75
OI-000253,ORD-000114,PRD-0014,4,291.5,1166.0
OI-000254,ORD-000115,PRD-0015,5,308.75,1543.75
OI-000255,ORD-000116,PRD-0016,1,326.0,326.0
OI-000256,ORD-000117,PRD-0017,2,343.25,686.5
OI-000257,ORD-000118,PRD-0018,3,360.5,1081.5
OI-000258,ORD-000119,PRD-0019,4,377.75,1511.0
OI-000259,ORD-000120,PRD-0020,5,395.0,1975.0
OI-000260,ORD-000121,PRD-0021,1,412.25,412.25
OI-000261,ORD-000122,PRD-0022,2,429.5,859.0
OI-000262,ORD-000123,PRD-0023,3,446.75,1340.25
OI-000263,ORD-000124,PRD-0024,4,464.0,1856.0
OI-000264,ORD-000125,PRD-0025,5,481.25,2406.25
OI-000265,ORD-000126,PRD-0026,1,498.5,498.5
OI-000266,ORD-000127,PRD-0027,2,515.75,1031.5
OI-000267,ORD-000128,PRD-0028,3,533.0,1599.0
OI-000268,ORD-000129,PRD-0029,4,550.25,2201.0
OI-000269,ORD-000130,PRD-0030,5,567.5,2837.5
OI-000270,ORD-000131,PRD-0001,1,67.25,67.25
OI-000271,ORD-000132,PRD-0002,2,84.5,169.0
OI-000272,ORD-000133,PRD-0003,3,101.75,305.25
OI-000273,ORD-000134,PRD-0004,4,119.0,476.0
OI-000274,ORD-000135,PRD-0005,5,136.25,681.25
OI-000275,ORD-000136,PRD-0006,1,153.5,153.5
OI-000276,ORD-000137,PRD-0007,2,170.75,341.5
OI-000277,ORD-000138,PRD-0008,3,188.0,564.0
OI-000278,ORD-000139,PRD-0009,4,205.25,821.0
OI-000279,ORD-000140,PRD-0010,5,222.5,1112.5
OI-000280,ORD-000001,PRD-0011,1,239.75,239.75
OI-000281,ORD-000002,PRD-0012,2,257.0,514.0
OI-000282,ORD-000003,PRD-0013,3,274.25,822.75
OI-000283,ORD-000004,PRD-0014,4,291.5,1166.0
OI-000284,ORD-000005,PRD-0015,5,308.75,1543.75
OI-000285,ORD-000006,PRD-0016,1,326.0,326.0
OI-000286,ORD-000007,PRD-0017,2,343.25,686.5
OI-000287,ORD-000008,PRD-0018,3,360.5,1081.5
OI-000288,ORD-000009,PRD-0019,4,377.75,1511.0
OI-000289,ORD-000010,PRD-0020,5,395.0,1975.0
OI-000290,ORD-000011,PRD-0021,1,412.25,412.25
OI-000291,ORD-000012,PRD-0022,2,429.5,859.0
OI-000292,ORD-000013,PRD-0023,3,446.75,1340.25
OI-000293,ORD-000014,PRD-0024,4,464.0,1856.0
OI-000294,ORD-000015,PRD-0025,5,481.25,2406.25
OI-000295,ORD-000016,PRD-0026,1,498.5,498.5
OI-000296,ORD-000017,PRD-0027,2,515.75,1031.5
OI-000297,ORD-000018,PRD-0028,3,533.0,1599.0
OI-000298,ORD-000019,PRD-0029,4,550.25,2201.0
OI-000299,ORD-000020,PRD-0030,5,567.5,2837.5
OI-000300,ORD-000021,PRD-0001,1,67.25,67.25
