order_id,customer_id,store_id,order_date,order_status,payment_method,discount_amount
ORD-000032,CUS-0033,STR-003,2025-02-02,Completed,Cash,0.0
ORD-000033,CUS-0034,STR-004,2025-02-03,Completed,Card,20.0
ORD-000034,CUS-0035,STR-005,2025-02-04,Completed,UPI,40.0
ORD-000035,CUS-0036,STR-006,2025-02-05,Returned,Cash,60.0
ORD-000036,CUS-0037,STR-001,2025-02-06,Completed,Card,0.0
ORD-000037,CUS-0038,STR-002,2025-02-07,Completed,UPI,20.0
ORD-000038,CUS-0039,STR-003,2025-02-08,Completed,Cash,40.0
ORD-000039,CUS-0040,STR-004,2025-02-09,Completed,Card,60.0
ORD-000040,CUS-0041,STR-005,2025-02-10,Completed,UPI,0.0
ORD-000041,CUS-0042,STR-006,2025-02-11,Completed,Cash,20.0
ORD-000042,CUS-0043,STR-001,2025-02-12,Returned,Card,40.0
ORD-000043,CUS-0044,STR-002,2025-02-13,Completed,UPI,60.0
ORD-000044,CUS-0045,STR-003,2025-02-14,Completed,Cash,0.0
ORD-000045,CUS-0046,STR-004,2025-02-15,Completed,Card,20.0
ORD-000046,CUS-0047,STR-005,2025-02-16,Completed,UPI,40.0
ORD-000047,CUS-0048,STR-006,2025-02-17,Completed,Cash,60.0
ORD-000048,CUS-0049,STR-001,2025-02-18,Completed,Card,0.0
ORD-000049,CUS-0050,STR-002,2025-02-19,Returned,UPI,20.0
ORD-000050,CUS-0051,STR-003,2025-02-20,Completed,Cash,40.0
ORD-000051,CUS-0052,STR-004,2025-02-21,Completed,Card,60.0
ORD-000052,CUS-0053,STR-005,2025-02-22,Completed,UPI,0.0
ORD-000053,CUS-0054,STR-006,2025-02-23,Completed,Cash,20.0
ORD-000054,CUS-0055,STR-001,2025-02-24,Completed,Card,40.0
ORD-000055,CUS-0001,STR-002,2025-02-25,Completed,UPI,60.0
ORD-000056,CUS-0002,STR-003,2025-02-26,Returned,Cash,0.0
ORD-000057,CUS-0003,STR-004,2025-02-27,Completed,Card,20.0
ORD-000058,CUS-0004,STR-005,2025-02-28,Completed,UPI,40.0
ORD-000059,CUS-0005,STR-006,2025-03-01,Completed,Cash,60.0
ORD-000060,CUS-0006,STR-001,2025-03-02,Completed,Card,0.0
ORD-000061,CUS-0007,STR-002,2025-03-03,Completed,UPI,20.0
ORD-000062,CUS-0008,STR-003,2025-03-04,Completed,Cash,40.0
ORD-000063,CUS-0009,STR-004,2025-03-05,Returned,Card,60.0
ORD-000064,CUS-0010,STR-005,2025-03-06,Completed,UPI,0.0
ORD-000065,CUS-0011,STR-006,2025-03-07,Completed,Cash,20.0
ORD-000066,CUS-0012,STR-001,2025-03-08,Completed,Card,40.0
ORD-000067,CUS-0013,STR-002,2025-03-09,Completed,UPI,60.0
ORD-000068,CUS-0014,STR-003,2025-03-10,Completed,Cash,0.0
ORD-000069,CUS-0015,STR-004,2025-03-11,Completed,Card,20.0
ORD-000070,CUS-0016,STR-005,2025-03-12,Returned,UPI,40.0
ORD-000071,CUS-0017,STR-006,2025-03-13,Completed,Cash,60.0
ORD-000072,CUS-0018,STR-001,2025-03-14,Completed,Card,0.0
ORD-000073,CUS-0019,STR-002,2025-03-15,Completed,UPI,20.0
ORD-000074,CUS-0020,STR-003,2025-03-16,Completed,Cash,40.0
ORD-000075,CUS-0021,STR-004,2025-03-17,Completed,Card,60.0
ORD-000076,CUS-0022,STR-005,2025-03-18,Completed,UPI,0.0
ORD-000077,CUS-0023,STR-006,2025-03-19,Returned,Cash,20.0
ORD-000078,CUS-0024,STR-001,2025-03-20,Completed,Card,40.0
ORD-000079,CUS-0025,STR-002,2025-03-21,Completed,UPI,60.0
ORD-000080,CUS-0026,STR-003,2025-03-22,Completed,Cash,0.0
ORD-000081,CUS-0027,STR-004,2025-03-23,Completed,Card,20.0
ORD-000082,CUS-0028,STR-005,2025-03-24,Completed,UPI,40.0
ORD-000083,CUS-0029,STR-006,2025-03-25,Completed,Cash,60.0
ORD-000084,CUS-0030,STR-001,2025-03-26,Returned,Card,0.0
ORD-000085,CUS-0031,STR-002,2025-03-27,Completed,UPI,20.0
ORD-000086,CUS-0032,STR-003,2025-03-28,Completed,Cash,40.0
ORD-000087,CUS-0033,STR-004,2025-03-29,Completed,Card,60.0
ORD-000088,CUS-0034,STR-005,2025-03-30,Completed,UPI,0.0
ORD-000089,CUS-0035,STR-006,2025-03-31,Completed,Cash,20.0
ORD-000090,CUS-0036,STR-001,2025-04-01,Completed,Card,40.0
ORD-000091,CUS-0037,STR-002,2025-04-02,Returned,UPI,60.0
ORD-000092,CUS-0038,STR-003,2025-04-03,Completed,Cash,0.0
ORD-000093,CUS-0039,STR-004,2025-04-04,Completed,Card,20.0
ORD-000094,CUS-0040,STR-005,2025-04-05,Completed,UPI,40.0
ORD-000095,CUS-0041,STR-006,2025-04-06,Completed,Cash,60.0
ORD-000096,CUS-0042,STR-001,2025-04-07,Completed,Card,0.0
ORD-000097,CUS-0043,STR-002,2025-04-08,Completed,UPI,20.0
ORD-000098,CUS-0044,STR-003,2025-04-09,Returned,Cash,40.0
ORD-000099,CUS-0045,STR-004,2025-04-10,Completed,Card,60.0
ORD-000100,CUS-0046,STR-005,2025-04-11,Completed,UPI,0.0
ORD-000101,CUS-0047,STR-006,2025-04-12,Completed,Cash,20.0
ORD-000102,CUS-0048,STR-001,2025-04-13,Completed,Card,40.0
ORD-000103,CUS-0049,STR-002,2025-04-14,Completed,UPI,60.0
ORD-000104,CUS-0050,STR-003,2025-04-15,Completed,Cash,0.0
ORD-000105,CUS-0051,STR-004,2025-04-16,Returned,Card,20.0
ORD-000106,CUS-0052,STR-005,2025-04-17,Completed,UPI,40.0
ORD-000107,CUS-0053,STR-006,2025-04-18,Completed,Cash,60.0
ORD-000108,CUS-0054,STR-001,2025-04-19,Completed,Card,0.0
ORD-000109,CUS-0055,STR-002,2025-04-20,Completed,UPI,20.0
ORD-000110,CUS-0001,STR-003,2025-04-21,Completed,Cash,40.0
ORD-000111,CUS-0002,STR-004,2025-04-22,Completed,Card,60.0
ORD-000112,CUS-0003,STR-005,2025-04-23,Returned,UPI,0.0
ORD-000113,CUS-0004,STR-006,2025-04-24,Completed,Cash,20.0
ORD-000114,CUS-0005,STR-001,2025-04-25,Completed,Card,40.0
ORD-000115,CUS-0006,STR-002,2025-04-26,Completed,UPI,60.0
ORD-000116,CUS-0007,STR-003,2025-04-27,Completed,Cash,0.0
ORD-000117,CUS-0008,STR-004,2025-04-28,Completed,Card,20.0
ORD-000118,CUS-0009,STR-005,2025-04-29,Completed,UPI,40.0
ORD-000119,CUS-0010,STR-006,2025-04-30,Returned,Cash,60.0
ORD-000120,CUS-0011,STR-001,2025-05-01,Completed,Card,0.0
ORD-000121,CUS-0012,STR-002,2025-05-02,Completed,UPI,20.0
ORD-000122,CUS-0013,STR-003,2025-05-03,Completed,Cash,40.0
ORD-000123,CUS-0014,STR-004,2025-05-04,Completed,Card,60.0
ORD-000124,CUS-0015,STR-005,2025-05-05,Completed,UPI,0.0
ORD-000125,CUS-0016,STR-006,2025-05-06,Completed,Cash,20.0
ORD-000126,CUS-0017,STR-001,2025-05-07,Returned,Card,40.0
ORD-000127,CUS-0018,STR-002,2025-05-08,Completed,UPI,60.0
ORD-000128,CUS-0019,STR-003,2025-05-09,Completed,Cash,0.0
ORD-000129,CUS-0020,STR-004,2025-05-10,Completed,Card,20.0
ORD-000130,CUS-0021,STR-005,2025-05-11,Completed,UPI,40.0
ORD-000131,CUS-0022,STR-006,2025-05-12,Completed,Cash,60.0
ORD-000132,CUS-0023,STR-001,2025-05-13,Completed,Card,0.0
ORD-000133,CUS-0024,STR-002,2025-05-14,Returned,UPI,20.0
ORD-000134,CUS-0025,STR-003,2025-05-15,Completed,Cash,40.0
ORD-000135,CUS-0026,STR-004,2025-05-16,Completed,Card,60.0
ORD-000136,CUS-0027,STR-005,2025-05-17,Completed,UPI,0.0
ORD-000137,CUS-0028,STR-006,2025-05-18,Completed,Cash,20.0
ORD-000138,CUS-0029,STR-001,2025-05-19,Completed,Card,40.0
ORD-000139,CUS-0030,STR-002,2025-05-20,Completed,UPI,60.0
ORD-000140,CUS-0031,STR-003,2025-05-21,Returned,Cash,0.0
