booking_id,customer_id,flight_id,booking_date,travel_class,fare_amount,booking_status
BKG-000061,CUS-0014,FLT-00002,2025-02-16,Economy,6916.4,Confirmed
BKG-000062,CUS-0015,FLT-00003,2025-02-17,Economy,6988.8,Confirmed
BKG-000063,CUS-0016,FLT-00004,2025-02-18,Economy,7061.2,Confirmed
BKG-000064,CUS-0017,FLT-00005,2025-02-19,Economy,7133.6,Cancelled
BKG-000065,CUS-0018,FLT-00006,2025-02-20,Business,7206.0,Confirmed
BKG-000066,CUS-0019,FLT-00007,2025-02-21,Economy,7278.4,Confirmed
BKG-000067,CUS-0020,FLT-00008,2025-02-22,Economy,7350.8,Confirmed
BKG-000068,CUS-0021,FLT-00009,2025-02-23,Economy,7423.2,Confirmed
BKG-000069,CUS-0022,FLT-00010,2025-02-24,Economy,7495.6,Confirmed
BKG-000070,CUS-0023,FLT-00011,2025-02-25,Business,7568.0,Confirmed
BKG-000071,CUS-0024,FLT-00012,2025-02-26,Economy,7640.4,Confirmed
BKG-000072,CUS-0025,FLT-00013,2025-02-27,Economy,7712.8,Cancelled
BKG-000073,CUS-0026,FLT-00014,2025-02-28,Economy,7785.2,Confirmed
BKG-000074,CUS-0027,FLT-00015,2025-03-01,Economy,7857.6,Confirmed
BKG-000075,CUS-0028,FLT-00016,2025-03-02,Business,7930.0,Confirmed
BKG-000076,CUS-0029,FLT-00017,2025-03-03,Economy,8002.4,Confirmed
BKG-000077,CUS-0030,FLT-00018,2025-03-04,Economy,8074.8,Confirmed
BKG-000078,CUS-0031,FLT-00019,2025-03-05,Economy,8147.2,Confirmed
BKG-000079,CUS-0032,FLT-00020,2025-03-06,Economy,8219.6,Confirmed
BKG-000080,CUS-0033,FLT-00021,2025-03-07,Business,8292.0,Cancelled
BKG-000081,CUS-0034,FLT-00022,2025-03-08,Economy,8364.4,Confirmed
BKG-000082,CUS-0035,FLT-00023,2025-03-09,Economy,8436.8,Confirmed
BKG-000083,CUS-0036,FLT-00024,2025-03-10,Economy,8509.2,Confirmed
BKG-000084,CUS-0037,FLT-00025,2025-03-11,Economy,8581.6,Confirmed
BKG-000085,CUS-0038,FLT-00026,2025-03-12,Business,8654.0,Confirmed
BKG-000086,CUS-0039,FLT-00027,2025-03-13,Economy,8726.4,Confirmed
BKG-000087,CUS-0040,FLT-00028,2025-03-14,Economy,8798.8,Confirmed
BKG-000088,CUS-0041,FLT-00029,2025-03-15,Economy,8871.2,Cancelled
BKG-000089,CUS-0042,FLT-00030,2025-03-16,Economy,8943.6,Confirmed
BKG-000090,CUS-0043,FLT-00031,2025-03-17,Business,9016.0,Confirmed
BKG-000091,CUS-0044,FLT-00032,2025-03-18,Economy,9088.4,Confirmed
BKG-000092,CUS-0045,FLT-00033,2025-03-19,Economy,9160.8,Confirmed
BKG-000093,CUS-0046,FLT-00034,2025-03-20,Economy,9233.2,Confirmed
BKG-000094,CUS-0047,FLT-00035,2025-03-21,Economy,9305.6,Confirmed
BKG-000095,CUS-0048,FLT-00036,2025-03-22,Business,9378.0,Confirmed
BKG-000096,CUS-0001,FLT-00037,2025-03-23,Economy,9450.4,Cancelled
BKG-000097,CUS-0002,FLT-00038,2025-03-24,Economy,9522.8,Confirmed
BKG-000098,CUS-0003,FLT-00039,2025-03-25,Economy,9595.2,Confirmed
BKG-000099,CUS-0004,FLT-00040,2025-03-26,Economy,9667.6,Confirmed
BKG-000100,CUS-0005,FLT-00041,2025-03-27,Business,9740.0,Confirmed
BKG-000101,CUS-0006,FLT-00042,2025-03-28,Economy,9812.4,Confirmed
BKG-000102,CUS-0007,FLT-00043,2025-03-29,Economy,9884.8,Confirmed
BKG-000103,CUS-0008,FLT-00044,2025-03-30,Economy,9957.2,Confirmed
BKG-000104,CUS-0009,FLT-00045,2025-03-31,Economy,10029.6,Cancelled
BKG-000105,CUS-0010,FLT-00046,2025-04-01,Business,10102.0,Confirmed
BKG-000106,CUS-0011,FLT-00047,2025-04-02,Economy,10174.4,Confirmed
BKG-000107,CUS-0012,FLT-00048,2025-04-03,Economy,10246.8,Confirmed
BKG-000108,CUS-0013,FLT-00049,2025-04-04,Economy,10319.2,Confirmed
BKG-000109,CUS-0014,FLT-00050,2025-04-05,Economy,10391.6,Confirmed
BKG-000110,CUS-0015,FLT-00051,2025-04-06,Business,10464.0,Confirmed
BKG-000111,CUS-0016,FLT-00052,2025-04-07,Economy,10536.4,Confirmed
BKG-000112,CUS-0017,FLT-00053,2025-04-08,Economy,10608.8,Cancelled
BKG-000113,CUS-0018,FLT-00054,2025-04-09,Economy,10681.2,Confirmed
BKG-000114,CUS-0019,FLT-00055,2025-04-10,Economy,10753.6,Confirmed
BKG-000115,CUS-0020,FLT-00056,2025-04-11,Business,10826.0,Confirmed
BKG-000116,CUS-0021,FLT-00057,2025-04-12,Economy,10898.4,Confirmed
BKG-000117,CUS-0022,FLT-00058,2025-04-13,Economy,10970.8,Confirmed
BKG-000118,CUS-0023,FLT-00059,2025-04-14,Economy,11043.2,Confirmed
BKG-000119,CUS-0024,FLT-00060,2025-04-15,Economy,11115.6,Confirmed
BKG-000120,CUS-0025,FLT-00001,2025-04-16,Business,11188.0,Cancelled
BKG-000121,CUS-0026,FLT-00002,2025-04-17,Economy,11260.4,Confirmed
BKG-000122,CUS-0027,FLT-00003,2025-04-18,Economy,11332.8,Confirmed
BKG-000123,CUS-0028,FLT-00004,2025-04-19,Economy,11405.2,Confirmed
BKG-000124,CUS-0029,FLT-00005,2025-04-20,Economy,11477.6,Confirmed
BKG-000125,CUS-0030,FLT-00006,2025-04-21,Business,11550.0,Confirmed
BKG-000126,CUS-0031,FLT-00007,2025-04-22,Economy,11622.4,Confirmed
BKG-000127,CUS-0032,FLT-00008,2025-04-23,Economy,11694.8,Confirmed
BKG-000128,CUS-0033,FLT-00009,2025-04-24,Economy,11767.2,Cancelled
BKG-000129,CUS-0034,FLT-00010,2025-04-25,Economy,11839.6,Confirmed
BKG-000130,CUS-0035,FLT-00011,2025-04-26,Business,11912.0,Confirmed
BKG-000131,CUS-0036,FLT-00012,2025-04-27,Economy,11984.4,Confirmed
BKG-000132,CUS-0037,FLT-00013,2025-04-28,Economy,12056.8,Confirmed
BKG-000133,CUS-0038,FLT-00014,2025-04-29,Economy,12129.2,Confirmed
BKG-000134,CUS-0039,FLT-00015,2025-04-30,Economy,12201.6,Confirmed
BKG-000135,CUS-0040,FLT-00016,2025-05-01,Business,12274.0,Confirmed
BKG-000136,CUS-0041,FLT-00017,2025-05-02,Economy,12346.4,Cancelled
BKG-000137,CUS-0042,FLT-00018,2025-05-03,Economy,12418.8,Confirmed
BKG-000138,CUS-0043,FLT-00019,2025-05-04,Economy,12491.2,Confirmed
BKG-000139,CUS-0044,FLT-00020,2025-05-05,Economy,12563.6,Confirmed
BKG-000140,CUS-0045,FLT-00021,2025-05-06,Business,12636.0,Confirmed
BKG-000141,CUS-0046,FLT-00022,2025-05-07,Economy,12708.4,Confirmed
BKG-000142,CUS-0047,FLT-00023,2025-05-08,Economy,12780.8,Confirmed
BKG-000143,CUS-0048,FLT-00024,2025-05-09,Economy,12853.2,Confirmed
BKG-000144,CUS-0001,FLT-00025,2025-05-10,Economy,12925.6,Cancelled
BKG-000145,CUS-0002,FLT-00026,2025-05-11,Business,12998.0,Confirmed
BKG-000146,CUS-0003,FLT-00027,2025-05-12,Economy,13070.4,Confirmed
BKG-000147,CUS-0004,FLT-00028,2025-05-13,Economy,13142.8,Confirmed
BKG-000148,CUS-0005,FLT-00029,2025-05-14,Economy,13215.2,Confirmed
BKG-000149,CUS-0006,FLT-00030,2025-05-15,Economy,13287.6,Confirmed
BKG-000150,CUS-0007,FLT-00031,2025-05-16,Business,13360.0,Confirmed
