booking_service_id,booking_id,service_type,service_amount
BS-00143,BKG-000144,Lounge,550
BS-00144,BKG-000145,Baggage,650
BS-00145,BKG-000146,Meal,250
BS-00146,BKG-000147,Lounge,350
BS-00147,BKG-000148,Baggage,450
BS-00148,BKG-000149,Meal,550
BS-00149,BKG-000150,Lounge,650
BS-00150,BKG-000001,Baggage,250
BS-00151,BKG-000002,Meal,350
BS-00152,BKG-000003,Lounge,450
BS-00153,BKG-000004,Baggage,550
BS-00154,BKG-000005,Meal,650
BS-00155,BKG-000006,Lounge,250
BS-00156,BKG-000007,Baggage,350
BS-00157,BKG-000008,Meal,450
BS-00158,BKG-000009,Lounge,550
BS-00159,BKG-000010,Baggage,650
BS-00160,BKG-000011,Meal,250
BS-00161,BKG-000012,Lounge,350
BS-00162,BKG-000013,Baggage,450
BS-00163,BKG-000014,Meal,550
BS-00164,BKG-000015,Lounge,650
BS-00165,BKG-000016,Baggage,250
BS-00166,BKG-000017,Meal,350
BS-00167,BKG-000018,Lounge,450
BS-00168,BKG-000019,Baggage,550
BS-00169,BKG-000020,Meal,650
BS-00170,BKG-000021,Lounge,250
BS-00171,BKG-000022,Baggage,350
BS-00172,BKG-000023,Meal,450
BS-00173,BKG-000024,Lounge,550
BS-00174,BKG-000025,Baggage,650
BS-00175,BKG-000026,Meal,250
BS-00176,BKG-000027,Lounge,350
BS-00177,BKG-000028,Baggage,450
BS-00178,BKG-000029,Meal,550
BS-00179,BKG-000030,Lounge,650
BS-00180,BKG-000031,Baggage,250
