payment_id,booking_id,payment_date,payment_method,payment_amount,payment_status
PAY-000086,BKG-000087,2025-03-28,Wallet,8798.8,Paid
PAY-000087,BKG-000088,2025-03-29,Card,8871.2,Paid
PAY-000088,BKG-000089,2025-03-30,UPI,8943.6,Paid
PAY-000089,BKG-000090,2025-03-31,Wallet,9016.0,Paid
PAY-000090,BKG-000091,2025-04-01,Card,9088.4,Refunded
PAY-000091,BKG-000092,2025-04-02,UPI,9160.8,Paid
PAY-000092,BKG-000093,2025-04-03,Wallet,9233.2,Paid
PAY-000093,BKG-000094,2025-04-04,Card,9305.6,Paid
PAY-000094,BKG-000095,2025-04-05,UPI,9378.0,Paid
PAY-000095,BKG-000096,2025-04-06,Wallet,9450.4,Paid
PAY-000096,BKG-000097,2025-04-07,Card,9522.8,Paid
PAY-000097,BKG-000098,2025-04-08,UPI,9595.2,Paid
PAY-000098,BKG-000099,2025-04-09,Wallet,9667.6,Paid
PAY-000099,BKG-000100,2025-04-10,Card,9740.0,Refunded
PAY-000100,BKG-000101,2025-04-11,UPI,9812.4,Paid
PAY-000101,BKG-000102,2025-04-12,Wallet,9884.8,Paid
PAY-000102,BKG-000103,2025-04-13,Card,9957.2,Paid
PAY-000103,BKG-000104,2025-04-14,UPI,10029.6,Paid
PAY-000104,BKG-000105,2025-04-15,Wallet,10102.0,Paid
PAY-000105,BKG-000106,2025-04-16,Card,10174.4,Paid
PAY-000106,BKG-000107,2025-04-17,UPI,10246.8,Paid
PAY-000107,BKG-000108,2025-04-18,Wallet,10319.2,Paid
PAY-000108,BKG-000109,2025-04-19,Card,10391.6,Refunded
PAY-000109,BKG-000110,2025-04-20,UPI,10464.0,Paid
PAY-000110,BKG-000111,2025-04-21,Wallet,10536.4,Paid
PAY-000111,BKG-000112,2025-04-22,Card,10608.8,Paid
PAY-000112,BKG-000113,2025-04-23,UPI,10681.2,Paid
PAY-000113,BKG-000114,2025-04-24,Wallet,10753.6,Paid
PAY-000114,BKG-000115,2025-04-25,Card,10826.0,Paid
PAY-000115,BKG-000116,2025-04-26,UPI,10898.4,Paid
PAY-000116,BKG-000117,2025-04-27,Wallet,10970.8,Paid
PAY-000117,BKG-000118,2025-04-28,Card,11043.2,Refunded
PAY-000118,BKG-000119,2025-04-29,UPI,11115.6,Paid
PAY-000119,BKG-000120,2025-04-30,Wallet,11188.0,Paid
PAY-000120,BKG-000121,2025-05-01,Card,11260.4,Paid
PAY-000121,BKG-000122,2025-05-02,UPI,11332.8,Paid
PAY-000122,BKG-000123,2025-05-03,Wallet,11405.2,Paid
PAY-000123,BKG-000124,2025-05-04,Card,11477.6,Paid
PAY-000124,BKG-000125,2025-05-05,UPI,11550.0,Paid
PAY-000125,BKG-000126,2025-05-06,Wallet,11622.4,Paid
PAY-000126,BKG-000127,2025-05-07,Card,11694.8,Refunded
PAY-000127,BKG-000128,2025-05-08,UPI,11767.2,Paid
PAY-000128,BKG-000129,2025-05-09,Wallet,11839.6,Paid
PAY-000129,BKG-000130,2025-05-10,Card,11912.0,Paid
PAY-000130,BKG-000131,2025-05-11,UPI,11984.4,Paid
PAY-000131,BKG-000132,2025-05-12,Wallet,12056.8,Paid
PAY-000132,BKG-000133,2025-05-13,Card,12129.2,Paid
PAY-000133,BKG-000134,2025-05-14,UPI,12201.6,Paid
PAY-000134,BKG-000135,2025-05-15,Wallet,12274.0,Paid
PAY-000135,BKG-000136,2025-05-16,Card,12346.4,Refunded
PAY-000136,BKG-000137,2025-05-17,UPI,12418.8,Paid
PAY-000137,BKG-000138,2025-05-18,Wallet,12491.2,Paid
PAY-000138,BKG-000139,2025-05-19,Card,12563.6,Paid
PAY-000139,BKG-000140,2025-05-20,UPI,12636.0,Paid
PAY-000140,BKG-000141,2025-05-21,Wallet,12708.4,Paid
PAY-000141,BKG-000142,2025-05-22,Card,12780.8,Paid
PAY-000142,BKG-000143,2025-05-23,UPI,12853.2,Paid
PAY-000143,BKG-000144,2025-05-24,Wallet,12925.6,Paid
PAY-000144,BKG-000145,2025-05-25,Card,12998.0,Refunded
PAY-000145,BKG-000146,2025-05-26,UPI,13070.4,Paid
PAY-000146,BKG-000147,2025-05-27,Wallet,13142.8,Paid
PAY-000147,BKG-000148,2025-05-28,Card,13215.2,Paid
PAY-000148,BKG-000149,2025-05-29,UPI,13287.6,Paid
PAY-000149,BKG-000150,2025-05-30,Wallet,13360.0,Paid
PAY-000150,BKG-000001,2025-05-31,Card,2572.4,Paid
