usage_id,customer_id,plan_id,device_id,tower_id,usage_date,data_mb,call_minutes,sms_count
USG-000027,CUS-0028,PLN-004,DEV-0028,TWR-004,2025-01-28,294.4,27,12
USG-000028,CUS-0029,PLN-001,DEV-0029,TWR-005,2025-01-29,301.6,28,13
USG-000029,CUS-0030,PLN-002,DEV-0030,TWR-006,2025-01-30,308.8,29,14
USG-000030,CUS-0031,PLN-003,DEV-0031,TWR-007,2025-01-31,316.0,30,0
USG-000031,CUS-0032,PLN-004,DEV-0032,TWR-008,2025-02-01,323.2,31,1
USG-000032,CUS-0033,PLN-001,DEV-0033,TWR-009,2025-02-02,330.4,32,2
USG-000033,CUS-0034,PLN-002,DEV-0034,TWR-010,2025-02-03,337.6,33,3
USG-000034,CUS-0035,PLN-003,DEV-0035,TWR-011,2025-02-04,344.8,34,4
USG-000035,CUS-0036,PLN-004,DEV-0036,TWR-012,2025-02-05,352.0,35,5
USG-000036,CUS-0037,PLN-001,DEV-0037,TWR-001,2025-02-06,359.2,36,6
USG-000037,CUS-0038,PLN-002,DEV-0038,TWR-002,2025-02-07,366.4,37,7
USG-000038,CUS-0039,PLN-003,DEV-0039,TWR-003,2025-02-08,373.6,38,8
USG-000039,CUS-0040,PLN-004,DEV-0040,TWR-004,2025-02-09,380.8,39,9
USG-000040,CUS-0041,PLN-001,DEV-0041,TWR-005,2025-02-10,388.0,40,10
USG-000041,CUS-0042,PLN-002,DEV-0042,TWR-006,2025-02-11,395.2,41,11
USG-000042,CUS-0043,PLN-003,DEV-0043,TWR-007,2025-02-12,402.4,42,12
USG-000043,CUS-0044,PLN-004,DEV-0044,TWR-008,2025-02-13,409.6,43,13
USG-000044,CUS-0045,PLN-001,DEV-0045,TWR-009,2025-02-14,416.8,44,14
USG-000045,CUS-0046,PLN-002,DEV-0046,TWR-010,2025-02-15,424.0,45,0
USG-000046,CUS-0047,PLN-003,DEV-0047,TWR-011,2025-02-16,431.2,46,1
USG-000047,CUS-0048,PLN-004,DEV-0048,TWR-012,2025-02-17,438.4,47,2
USG-000048,CUS-0049,PLN-001,DEV-0049,TWR-001,2025-02-18,445.6,48,3
USG-000049,CUS-0050,PLN-002,DEV-0050,TWR-002,2025-02-19,452.8,49,4
USG-000050,CUS-0001,PLN-003,DEV-0051,TWR-003,2025-02-20,460.0,50,5
USG-000051,CUS-0002,PLN-004,DEV-0052,TWR-004,2025-02-21,467.2,51,6
USG-000052,CUS-0003,PLN-001,DEV-0053,TWR-005,2025-02-22,474.4,52,7
USG-000053,CUS-0004,PLN-002,DEV-0054,TWR-006,2025-02-23,481.6,53,8
USG-000054,CUS-0005,PLN-003,DEV-0055,TWR-007,2025-02-24,488.8,54,9
USG-000055,CUS-0006,PLN-004,DEV-0056,TWR-008,2025-02-25,496.0,55,10
USG-000056,CUS-0007,PLN-001,DEV-0057,TWR-009,2025-02-26,503.2,56,11
USG-000057,CUS-0008,PLN-002,DEV-0058,TWR-010,2025-02-27,510.4,57,12
USG-000058,CUS-0009,PLN-003,DEV-0059,TWR-011,2025-02-28,517.6,58,13
USG-000059,CUS-0010,PLN-004,DEV-0060,TWR-012,2025-03-01,524.8,59,14
USG-000060,CUS-0011,PLN-001,DEV-0061,TWR-001,2025-03-02,532.0,60,0
USG-000061,CUS-0012,PLN-002,DEV-0062,TWR-002,2025-03-03,539.2,61,1
USG-000062,CUS-0013,PLN-003,DEV-0063,TWR-003,2025-03-04,546.4,62,2
USG-000063,CUS-0014,PLN-004,DEV-0064,TWR-004,2025-03-05,553.6,63,3
USG-000064,CUS-0015,PLN-001,DEV-0065,TWR-005,2025-03-06,560.8,64,4
USG-000065,CUS-0016,PLN-002,DEV-0001,TWR-006,2025-03-07,568.0,65,5
USG-000066,CUS-0017,PLN-003,DEV-0002,TWR-007,2025-03-08,575.2,66,6
USG-000067,CUS-0018,PLN-004,DEV-0003,TWR-008,2025-03-09,582.4,67,7
USG-000068,CUS-0019,PLN-001,DEV-0004,TWR-009,2025-03-10,589.6,68,8
USG-000069,CUS-0020,PLN-002,DEV-0005,TWR-010,2025-03-11,596.8,69,9
USG-000070,CUS-0021,PLN-003,DEV-0006,TWR-011,2025-03-12,604.0,70,10
USG-000071,CUS-0022,PLN-004,DEV-0007,TWR-012,2025-03-13,611.2,71,11
USG-000072,CUS-0023,PLN-001,DEV-0008,TWR-001,2025-03-14,618.4,72,12
USG-000073,CUS-0024,PLN-002,DEV-0009,TWR-002,2025-03-15,625.6,73,13
USG-000074,CUS-0025,PLN-003,DEV-0010,TWR-003,2025-03-16,632.8,74,14
USG-000075,CUS-0026,PLN-004,DEV-0011,TWR-004,2025-03-17,640.0,75,0
USG-000076,CUS-0027,PLN-001,DEV-0012,TWR-005,2025-03-18,647.2,76,1
USG-000077,CUS-0028,PLN-002,DEV-0013,TWR-006,2025-03-19,654.4,77,2
USG-000078,CUS-0029,PLN-003,DEV-0014,TWR-007,2025-03-20,661.6,78,3
USG-000079,CUS-0030,PLN-004,DEV-0015,TWR-008,2025-03-21,668.8,79,4
USG-000080,CUS-0031,PLN-001,DEV-0016,TWR-009,2025-03-22,676.0,80,5
USG-000081,CUS-0032,PLN-002,DEV-0017,TWR-010,2025-03-23,683.2,81,6
USG-000082,CUS-0033,PLN-003,DEV-0018,TWR-011,2025-03-24,690.4,82,7
USG-000083,CUS-0034,PLN-004,DEV-0019,TWR-012,2025-03-25,697.6,83,8
USG-000084,CUS-0035,PLN-001,DEV-0020,TWR-001,2025-03-26,704.8,84,9
USG-000085,CUS-0036,PLN-002,DEV-0021,TWR-002,2025-03-27,712.0,85,10
USG-000086,CUS-0037,PLN-003,DEV-0022,TWR-003,2025-03-28,719.2,86,11
USG-000087,CUS-0038,PLN-004,DEV-0023,TWR-004,2025-03-29,726.4,87,12
USG-000088,CUS-0039,PLN-001,DEV-0024,TWR-005,2025-03-30,733.6,88,13
USG-000089,CUS-0040,PLN-002,DEV-0025,TWR-006,2025-03-31,740.8,89,14
USG-000090,CUS-0041,PLN-003,DEV-0026,TWR-007,2025-04-01,748.0,0,0
USG-000091,CUS-0042,PLN-004,DEV-0027,TWR-008,2025-04-02,755.2,1,1
USG-000092,CUS-0043,PLN-001,DEV-0028,TWR-009,2025-04-03,762.4,2,2
USG-000093,CUS-0044,PLN-002,DEV-0029,TWR-010,2025-04-04,769.6,3,3
USG-000094,CUS-0045,PLN-003,DEV-0030,TWR-011,2025-04-05,776.8,4,4
USG-000095,CUS-0046,PLN-004,DEV-0031,TWR-012,2025-04-06,784.0,5,5
USG-000096,CUS-0047,PLN-001,DEV-0032,TWR-001,2025-04-07,791.2,6,6
USG-000097,CUS-0048,PLN-002,DEV-0033,TWR-002,2025-04-08,798.4,7,7
USG-000098,CUS-0049,PLN-003,DEV-0034,TWR-003,2025-04-09,805.6,8,8
USG-000099,CUS-0050,PLN-004,DEV-0035,TWR-004,2025-04-10,812.8,9,9
USG-000100,CUS-0001,PLN-001,DEV-0036,TWR-005,2025-04-11,820.0,10,10
USG-000101,CUS-0002,PLN-002,DEV-0037,TWR-006,2025-04-12,827.2,11,11
USG-000102,CUS-0003,PLN-003,DEV-0038,TWR-007,2025-04-13,834.4,12,12
USG-000103,CUS-0004,PLN-004,DEV-0039,TWR-008,2025-04-14,841.6,13,13
USG-000104,CUS-0005,PLN-001,DEV-0040,TWR-009,2025-04-15,848.8,14,14
USG-000105,CUS-0006,PLN-002,DEV-0041,TWR-010,2025-04-16,856.0,15,0
USG-000106,CUS-0007,PLN-003,DEV-0042,TWR-011,2025-04-17,863.2,16,1
USG-000107,CUS-0008,PLN-004,DEV-0043,TWR-012,2025-04-18,870.4,17,2
USG-000108,CUS-0009,PLN-001,DEV-0044,TWR-001,2025-04-19,877.6,18,3
USG-000109,CUS-0010,PLN-002,DEV-0045,TWR-002,2025-04-20,884.8,19,4
USG-000110,CUS-0011,PLN-003,DEV-0046,TWR-003,2025-04-21,892.0,20,5
USG-000111,CUS-0012,PLN-004,DEV-0047,TWR-004,2025-04-22,899.2,21,6
USG-000112,CUS-0013,PLN-001,DEV-0048,TWR-005,2025-04-23,906.4,22,7
USG-000113,CUS-0014,PLN-002,DEV-0049,TWR-006,2025-04-24,913.6,23,8
USG-000114,CUS-0015,PLN-003,DEV-0050,TWR-007,2025-04-25,920.8,24,9
USG-000115,CUS-0016,PLN-004,DEV-0051,TWR-008,2025-04-26,928.0,25,10
USG-000116,CUS-0017,PLN-001,DEV-0052,TWR-009,2025-04-27,935.2,26,11
USG-000117,CUS-0018,PLN-002,DEV-0053,TWR-010,2025-04-28,942.4,27,12
USG-000118,CUS-0019,PLN-003,DEV-0054,TWR-011,2025-04-29,949.6,28,13
USG-000119,CUS-0020,PLN-004,DEV-0055,TWR-012,2025-04-30,956.8,29,14
USG-000120,CUS-0021,PLN-001,DEV-0056,TWR-001,2025-05-01,964.0,30,0
USG-000121,CUS-0022,PLN-002,DEV-0057,TWR-002,2025-05-02,971.2,31,1
USG-000122,CUS-0023,PLN-003,DEV-0058,TWR-003,2025-05-03,978.4,32,2
USG-000123,CUS-0024,PLN-004,DEV-0059,TWR-004,2025-05-04,985.6,33,3
USG-000124,CUS-0025,PLN-001,DEV-0060,TWR-005,2025-05-05,992.8,34,4
USG-000125,CUS-0026,PLN-002,DEV-0061,TWR-006,2025-05-06,1000.0,35,5
USG-000126,CUS-0027,PLN-003,DEV-0062,TWR-007,2025-05-07,1007.2,36,6
USG-000127,CUS-0028,PLN-004,DEV-0063,TWR-008,2025-05-08,1014.4,37,7
USG-000128,CUS-0029,PLN-001,DEV-0064,TWR-009,2025-05-09,1021.6,38,8
USG-000129,CUS-0030,PLN-002,DEV-0065,TWR-010,2025-05-10,1028.8,39,9
USG-000130,CUS-0031,PLN-003,DEV-0001,TWR-011,2025-05-11,1036.0,40,10
USG-000131,CUS-0032,PLN-004,DEV-0002,TWR-012,2025-05-12,1043.2,41,11
USG-000132,CUS-0033,PLN-001,DEV-0003,TWR-001,2025-05-13,1050.4,42,12
USG-000133,CUS-0034,PLN-002,DEV-0004,TWR-002,2025-05-14,1057.6,43,13
USG-000134,CUS-0035,PLN-003,DEV-0005,TWR-003,2025-05-15,1064.8,44,14
USG-000135,CUS-0036,PLN-004,DEV-0006,TWR-004,2025-05-16,1072.0,45,0
USG-000136,CUS-0037,PLN-001,DEV-0007,TWR-005,2025-05-17,1079.2,46,1
USG-000137,CUS-0038,PLN-002,DEV-0008,TWR-006,2025-05-18,1086.4,47,2
USG-000138,CUS-0039,PLN-003,DEV-0009,TWR-007,2025-05-19,1093.6,48,3
USG-000139,CUS-0040,PLN-004,DEV-0010,TWR-008,2025-05-20,1100.8,49,4
USG-000140,CUS-0041,PLN-001,DEV-0011,TWR-009,2025-05-21,1108.0,50,5
USG-000141,CUS-0042,PLN-002,DEV-0012,TWR-010,2025-05-22,1115.2,51,6
USG-000142,CUS-0043,PLN-003,DEV-0013,TWR-011,2025-05-23,1122.4,52,7
USG-000143,CUS-0044,PLN-004,DEV-0014,TWR-012,2025-05-24,1129.6,53,8
USG-000144,CUS-0045,PLN-001,DEV-0015,TWR-001,2025-05-25,1136.8,54,9
USG-000145,CUS-0046,PLN-002,DEV-0016,TWR-002,2025-05-26,1144.0,55,10
USG-000146,CUS-0047,PLN-003,DEV-0017,TWR-003,2025-05-27,1151.2,56,11
USG-000147,CUS-0048,PLN-004,DEV-0018,TWR-004,2025-05-28,1158.4,57,12
USG-000148,CUS-0049,PLN-001,DEV-0019,TWR-005,2025-05-29,1165.6,58,13
USG-000149,CUS-0050,PLN-002,DEV-0020,TWR-006,2025-05-30,1172.8,59,14
USG-000150,CUS-0001,PLN-003,DEV-0021,TWR-007,2025-05-31,1180.0,60,0
USG-000151,CUS-0002,PLN-004,DEV-0022,TWR-008,2025-06-01,1187.2,61,1
USG-000152,CUS-0003,PLN-001,DEV-0023,TWR-009,2025-06-02,1194.4,62,2
USG-000153,CUS-0004,PLN-002,DEV-0024,TWR-010,2025-06-03,1201.6,63,3
USG-000154,CUS-0005,PLN-003,DEV-0025,TWR-011,2025-06-04,1208.8,64,4
USG-000155,CUS-0006,PLN-004,DEV-0026,TWR-012,2025-06-05,1216.0,65,5
USG-000156,CUS-0007,PLN-001,DEV-0027,TWR-001,2025-06-06,1223.2,66,6
USG-000157,CUS-0008,PLN-002,DEV-0028,TWR-002,2025-06-07,1230.4,67,7
USG-000158,CUS-0009,PLN-003,DEV-0029,TWR-003,2025-06-08,1237.6,68,8
USG-000159,CUS-0010,PLN-004,DEV-0030,TWR-004,2025-06-09,1244.8,69,9
USG-000160,CUS-0011,PLN-001,DEV-0031,TWR-005,2025-06-10,1252.0,70,10
USG-000161,CUS-0012,PLN-002,DEV-0032,TWR-006,2025-06-11,1259.2,71,11
USG-000162,CUS-0013,PLN-003,DEV-0033,TWR-007,2025-06-12,1266.4,72,12
USG-000163,CUS-0014,PLN-004,DEV-0034,TWR-008,2025-06-13,1273.6,73,13
USG-000164,CUS-0015,PLN-001,DEV-0035,TWR-009,2025-06-14,1280.8,74,14
USG-000165,CUS-0016,PLN-002,DEV-0036,TWR-010,2025-06-15,1288.0,75,0
USG-000166,CUS-0017,PLN-003,DEV-0037,TWR-011,2025-06-16,1295.2,76,1
USG-000167,CUS-0018,PLN-004,DEV-0038,TWR-012,2025-06-17,1302.4,77,2
USG-000168,CUS-0019,PLN-001,DEV-0039,TWR-001,2025-06-18,1309.6,78,3
USG-000169,CUS-0020,PLN-002,DEV-0040,TWR-002,2025-06-19,1316.8,79,4
USG-000170,CUS-0021,PLN-003,DEV-0041,TWR-003,2025-06-20,1324.0,80,5
USG-000171,CUS-0022,PLN-004,DEV-0042,TWR-004,2025-06-21,1331.2,81,6
USG-000172,CUS-0023,PLN-001,DEV-0043,TWR-005,2025-06-22,1338.4,82,7
USG-000173,CUS-0024,PLN-002,DEV-0044,TWR-006,2025-06-23,1345.6,83,8
USG-000174,CUS-0025,PLN-003,DEV-0045,TWR-007,2025-06-24,1352.8,84,9
USG-000175,CUS-0026,PLN-004,DEV-0046,TWR-008,2025-06-25,1360.0,85,10
USG-000176,CUS-0027,PLN-001,DEV-0047,TWR-009,2025-06-26,1367.2,86,11
USG-000177,CUS-0028,PLN-002,DEV-0048,TWR-010,2025-06-27,1374.4,87,12
USG-000178,CUS-0029,PLN-003,DEV-0049,TWR-011,2025-06-28,1381.6,88,13
USG-000179,CUS-0030,PLN-004,DEV-0050,TWR-012,2025-06-29,1388.8,89,14
USG-000180,CUS-0031,PLN-001,DEV-0051,TWR-001,2025-06-30,1396.0,0,0
USG-000181,CUS-0032,PLN-002,DEV-0052,TWR-002,2025-07-01,1403.2,1,1
USG-000182,CUS-0033,PLN-003,DEV-0053,TWR-003,2025-07-02,1410.4,2,2
USG-000183,CUS-0034,PLN-004,DEV-0054,TWR-004,2025-07-03,1417.6,3,3
USG-000184,CUS-0035,PLN-001,DEV-0055,TWR-005,2025-07-04,1424.8,4,4
USG-000185,CUS-0036,PLN-002,DEV-0056,TWR-006,2025-07-05,1432.0,5,5
USG-000186,CUS-0037,PLN-003,DEV-0057,TWR-007,2025-07-06,1439.2,6,6
USG-000187,CUS-0038,PLN-004,DEV-0058,TWR-008,2025-07-07,1446.4,7,7
USG-000188,CUS-0039,PLN-001,DEV-0059,TWR-009,2025-07-08,1453.6,8,8
USG-000189,CUS-0040,PLN-002,DEV-0060,TWR-010,2025-07-09,1460.8,9,9
USG-000190,CUS-0041,PLN-003,DEV-0061,TWR-011,2025-07-10,1468.0,10,10
USG-000191,CUS-0042,PLN-004,DEV-0062,TWR-012,2025-07-11,1475.2,11,11
USG-000192,CUS-0043,PLN-001,DEV-0063,TWR-001,2025-07-12,1482.4,12,12
USG-000193,CUS-0044,PLN-002,DEV-0064,TWR-002,2025-07-13,1489.6,13,13
USG-000194,CUS-0045,PLN-003,DEV-0065,TWR-003,2025-07-14,1496.8,14,14
USG-000195,CUS-0046,PLN-004,DEV-0001,TWR-004,2025-07-15,1504.0,15,0
USG-000196,CUS-0047,PLN-001,DEV-0002,TWR-005,2025-07-16,1511.2,16,1
USG-000197,CUS-0048,PLN-002,DEV-0003,TWR-006,2025-07-17,1518.4,17,2
USG-000198,CUS-0049,PLN-003,DEV-0004,TWR-007,2025-07-18,1525.6,18,3
USG-000199,CUS-0050,PLN-004,DEV-0005,TWR-008,2025-07-19,1532.8,19,4
USG-000200,CUS-0001,PLN-001,DEV-0006,TWR-009,2025-07-20,1540.0,20,5
USG-000201,CUS-0002,PLN-002,DEV-0007,TWR-010,2025-07-21,1547.2,21,6
USG-000202,CUS-0003,PLN-003,DEV-0008,TWR-011,2025-07-22,1554.4,22,7
USG-000203,CUS-0004,PLN-004,DEV-0009,TWR-012,2025-07-23,1561.6,23,8
USG-000204,CUS-0005,PLN-001,DEV-0010,TWR-001,2025-07-24,1568.8,24,9
USG-000205,CUS-0006,PLN-002,DEV-0011,TWR-002,2025-07-25,1576.0,25,10
USG-000206,CUS-0007,PLN-003,DEV-0012,TWR-003,2025-07-26,1583.2,26,11
USG-000207,CUS-0008,PLN-004,DEV-0013,TWR-004,2025-07-27,1590.4,27,12
USG-000208,CUS-0009,PLN-001,DEV-0014,TWR-005,2025-07-28,1597.6,28,13
USG-000209,CUS-0010,PLN-002,DEV-0015,TWR-006,2025-07-29,1604.8,29,14
USG-000210,CUS-0011,PLN-003,DEV-0016,TWR-007,2025-07-30,1612.0,30,0
USG-000211,CUS-0012,PLN-004,DEV-0017,TWR-008,2025-07-31,1619.2,31,1
USG-000212,CUS-0013,PLN-001,DEV-0018,TWR-009,2025-08-01,1626.4,32,2
USG-000213,CUS-0014,PLN-002,DEV-0019,TWR-010,2025-08-02,1633.6,33,3
USG-000214,CUS-0015,PLN-003,DEV-0020,TWR-011,2025-08-03,1640.8,34,4
USG-000215,CUS-0016,PLN-004,DEV-0021,TWR-012,2025-08-04,1648.0,35,5
USG-000216,CUS-0017,PLN-001,DEV-0022,TWR-001,2025-08-05,1655.2,36,6
USG-000217,CUS-0018,PLN-002,DEV-0023,TWR-002,2025-08-06,1662.4,37,7
USG-000218,CUS-0019,PLN-003,DEV-0024,TWR-003,2025-08-07,1669.6,38,8
USG-000219,CUS-0020,PLN-004,DEV-0025,TWR-004,2025-08-08,1676.8,39,9
USG-000220,CUS-0021,PLN-001,DEV-0026,TWR-005,2025-08-09,1684.0,40,10
USG-000221,CUS-0022,PLN-002,DEV-0027,TWR-006,2025-08-10,1691.2,41,11
USG-000222,CUS-0023,PLN-003,DEV-0028,TWR-007,2025-08-11,1698.4,42,12
USG-000223,CUS-0024,PLN-004,DEV-0029,TWR-008,2025-08-12,1705.6,43,13
USG-000224,CUS-0025,PLN-001,DEV-0030,TWR-009,2025-08-13,1712.8,44,14
USG-000225,CUS-0026,PLN-002,DEV-0031,TWR-010,2025-08-14,1720.0,45,0
USG-000226,CUS-0027,PLN-003,DEV-0032,TWR-011,2025-08-15,1727.2,46,1
USG-000227,CUS-0028,PLN-004,DEV-0033,TWR-012,2025-08-16,1734.4,47,2
USG-000228,CUS-0029,PLN-001,DEV-0034,TWR-001,2025-08-17,1741.6,48,3
USG-000229,CUS-0030,PLN-002,DEV-0035,TWR-002,2025-08-18,1748.8,49,4
USG-000230,CUS-0031,PLN-003,DEV-0036,TWR-003,2025-08-19,1756.0,50,5
USG-000231,CUS-0032,PLN-004,DEV-0037,TWR-004,2025-08-20,1763.2,51,6
USG-000232,CUS-0033,PLN-001,DEV-0038,TWR-005,2025-08-21,1770.4,52,7
USG-000233,CUS-0034,PLN-002,DEV-0039,TWR-006,2025-08-22,1777.6,53,8
USG-000234,CUS-0035,PLN-003,DEV-0040,TWR-007,2025-08-23,1784.8,54,9
USG-000235,CUS-0036,PLN-004,DEV-0041,TWR-008,2025-08-24,1792.0,55,10
USG-000236,CUS-0037,PLN-001,DEV-0042,TWR-009,2025-08-25,1799.2,56,11
USG-000237,CUS-0038,PLN-002,DEV-0043,TWR-010,2025-08-26,1806.4,57,12
USG-000238,CUS-0039,PLN-003,DEV-0044,TWR-011,2025-08-27,1813.6,58,13
USG-000239,CUS-0040,PLN-004,DEV-0045,TWR-012,2025-08-28,1820.8,59,14
USG-000240,CUS-0041,PLN-001,DEV-0046,TWR-001,2025-08-29,1828.0,60,0
USG-000241,CUS-0042,PLN-002,DEV-0047,TWR-002,2025-08-30,1835.2,61,1
USG-000242,CUS-0043,PLN-003,DEV-0048,TWR-003,2025-08-31,1842.4,62,2
USG-000243,CUS-0044,PLN-004,DEV-0049,TWR-004,2025-09-01,1849.6,63,3
USG-000244,CUS-0045,PLN-001,DEV-0050,TWR-005,2025-09-02,1856.8,64,4
USG-000245,CUS-0046,PLN-002,DEV-0051,TWR-006,2025-09-03,1864.0,65,5
USG-000246,CUS-0047,PLN-003,DEV-0052,TWR-007,2025-09-04,1871.2,66,6
USG-000247,CUS-0048,PLN-004,DEV-0053,TWR-008,2025-09-05,1878.4,67,7
USG-000248,CUS-0049,PLN-001,DEV-0054,TWR-009,2025-09-06,1885.6,68,8
USG-000249,CUS-0050,PLN-002,DEV-0055,TWR-010,2025-09-07,1892.8,69,9
USG-000250,CUS-0001,PLN-003,DEV-0056,TWR-011,2025-09-08,1900.0,70,10
USG-000251,CUS-0002,PLN-004,DEV-0057,TWR-012,2025-09-09,1907.2,71,11
USG-000252,CUS-0003,PLN-001,DEV-0058,TWR-001,2025-09-10,1914.4,72,12
USG-000253,CUS-0004,PLN-002,DEV-0059,TWR-002,2025-09-11,1921.6,73,13
USG-000254,CUS-0005,PLN-003,DEV-0060,TWR-003,2025-09-12,1928.8,74,14
USG-000255,CUS-0006,PLN-004,DEV-0061,TWR-004,2025-09-13,1936.0,75,0
USG-000256,CUS-0007,PLN-001,DEV-0062,TWR-005,2025-09-14,1943.2,76,1
USG-000257,CUS-0008,PLN-002,DEV-0063,TWR-006,2025-09-15,1950.4,77,2
USG-000258,CUS-0009,PLN-003,DEV-0064,TWR-007,2025-09-16,1957.6,78,3
USG-000259,CUS-0010,PLN-004,DEV-0065,TWR-008,2025-09-17,1964.8,79,4
USG-000260,CUS-0011,PLN-001,DEV-0001,TWR-009,2025-09-18,1972.0,80,5
USG-000261,CUS-0012,PLN-002,DEV-0002,TWR-010,2025-09-19,1979.2,81,6
USG-000262,CUS-0013,PLN-003,DEV-0003,TWR-011,2025-09-20,1986.4,82,7
USG-000263,CUS-0014,PLN-004,DEV-0004,TWR-012,2025-09-21,1993.6,83,8
USG-000264,CUS-0015,PLN-001,DEV-0005,TWR-001,2025-09-22,2000.8,84,9
USG-000265,CUS-0016,PLN-002,DEV-0006,TWR-002,2025-09-23,2008.0,85,10
USG-000266,CUS-0017,PLN-003,DEV-0007,TWR-003,2025-09-24,2015.2,86,11
USG-000267,CUS-0018,PLN-004,DEV-0008,TWR-004,2025-09-25,2022.4,87,12
USG-000268,CUS-0019,PLN-001,DEV-0009,TWR-005,2025-09-26,2029.6,88,13
USG-000269,CUS-0020,PLN-002,DEV-0010,TWR-006,2025-09-27,2036.8,89,14
USG-000270,CUS-0021,PLN-003,DEV-0011,TWR-007,2025-09-28,2044.0,0,0
USG-000271,CUS-0022,PLN-004,DEV-0012,TWR-008,2025-09-29,2051.2,1,1
USG-000272,CUS-0023,PLN-001,DEV-0013,TWR-009,2025-09-30,2058.4,2,2
USG-000273,CUS-0024,PLN-002,DEV-0014,TWR-010,2025-10-01,2065.6,3,3
USG-000274,CUS-0025,PLN-003,DEV-0015,TWR-011,2025-10-02,2072.8,4,4
USG-000275,CUS-0026,PLN-004,DEV-0016,TWR-012,2025-10-03,2080.0,5,5
USG-000276,CUS-0027,PLN-001,DEV-0017,TWR-001,2025-10-04,2087.2,6,6
USG-000277,CUS-0028,PLN-002,DEV-0018,TWR-002,2025-10-05,2094.4,7,7
USG-000278,CUS-0029,PLN-003,DEV-0019,TWR-003,2025-10-06,2101.6,8,8
USG-000279,CUS-0030,PLN-004,DEV-0020,TWR-004,2025-10-07,2108.8,9,9
USG-000280,CUS-0031,PLN-001,DEV-0021,TWR-005,2025-10-08,2116.0,10,10
