ticket_id,customer_id,tower_id,opened_date,issue_type,resolution_hours,ticket_status
TKT-00068,CUS-0019,TWR-009,2025-03-10,Device,35.0,Open
TKT-00069,CUS-0020,TWR-010,2025-03-11,Network,35.5,Closed
TKT-00070,CUS-0021,TWR-011,2025-03-12,Billing,36.0,Closed
TKT-00071,CUS-0022,TWR-012,2025-03-13,Device,36.5,Closed
TKT-00072,CUS-0023,TWR-001,2025-03-14,Network,1.0,Open
TKT-00073,CUS-0024,TWR-002,2025-03-15,Billing,1.5,Closed
TKT-00074,CUS-0025,TWR-003,2025-03-16,Device,2.0,Closed
TKT-00075,CUS-0026,TWR-004,2025-03-17,Network,2.5,Closed
TKT-00076,CUS-0027,TWR-005,2025-03-18,Billing,3.0,Open
TKT-00077,CUS-0028,TWR-006,2025-03-19,Device,3.5,Closed
TKT-00078,CUS-0029,TWR-007,2025-03-20,Network,4.0,Closed
TKT-00079,CUS-0030,TWR-008,2025-03-21,Billing,4.5,Closed
TKT-00080,CUS-0031,TWR-009,2025-03-22,Device,5.0,Open
TKT-00081,CUS-0032,TWR-010,2025-03-23,Network,5.5,Closed
TKT-00082,CUS-0033,TWR-011,2025-03-24,Billing,6.0,Closed
TKT-00083,CUS-0034,TWR-012,2025-03-25,Device,6.5,Closed
TKT-00084,CUS-0035,TWR-001,2025-03-26,Network,7.0,Open
TKT-00085,CUS-0036,TWR-002,2025-03-27,Billing,7.5,Closed
TKT-00086,CUS-0037,TWR-003,2025-03-28,Device,8.0,Closed
TKT-00087,CUS-0038,TWR-004,2025-03-29,Network,8.5,Closed
TKT-00088,CUS-0039,TWR-005,2025-03-30,Billing,9.0,Open
TKT-00089,CUS-0040,TWR-006,2025-03-31,Device,9.5,Closed
TKT-00090,CUS-0041,TWR-007,2025-04-01,Network,10.0,Closed
