reading_id,meter_id,reading_date,kwh_consumed,peak_kw,estimated_flag
RDG-000092,MTR-00023,2025-04-03,17.6,3.2,N
RDG-000093,MTR-00024,2025-04-04,18.9,3.8,N
RDG-000094,MTR-00025,2025-04-05,20.2,4.4,N
RDG-000095,MTR-00026,2025-04-06,21.5,5.0,Y
RDG-000096,MTR-00027,2025-04-07,22.8,5.6,N
RDG-000097,MTR-00028,2025-04-08,24.1,6.2,N
RDG-000098,MTR-00029,2025-04-09,25.4,6.8,N
RDG-000099,MTR-00030,2025-04-10,26.7,7.4,N
RDG-000100,MTR-00031,2025-04-11,28.0,2.0,N
RDG-000101,MTR-00032,2025-04-12,29.3,2.6,N
RDG-000102,MTR-00033,2025-04-13,30.6,3.2,N
RDG-000103,MTR-00034,2025-04-14,31.9,3.8,N
RDG-000104,MTR-00035,2025-04-15,33.2,4.4,N
RDG-000105,MTR-00036,2025-04-16,34.5,5.0,N
RDG-000106,MTR-00037,2025-04-17,35.8,5.6,N
RDG-000107,MTR-00038,2025-04-18,37.1,6.2,N
RDG-000108,MTR-00039,2025-04-19,38.4,6.8,N
RDG-000109,MTR-00040,2025-04-20,39.7,7.4,N
RDG-000110,MTR-00041,2025-04-21,41.0,2.0,N
RDG-000111,MTR-00042,2025-04-22,42.3,2.6,N
RDG-000112,MTR-00043,2025-04-23,43.6,3.2,N
RDG-000113,MTR-00044,2025-04-24,44.9,3.8,N
RDG-000114,MTR-00045,2025-04-25,46.2,4.4,Y
RDG-000115,MTR-00046,2025-04-26,47.5,5.0,N
RDG-000116,MTR-00047,2025-04-27,48.8,5.6,N
RDG-000117,MTR-00048,2025-04-28,50.1,6.2,N
RDG-000118,MTR-00049,2025-04-29,51.4,6.8,N
RDG-000119,MTR-00050,2025-04-30,52.7,7.4,N
RDG-000120,MTR-00051,2025-05-01,54.0,2.0,N
RDG-000121,MTR-00052,2025-05-02,55.3,2.6,N
RDG-000122,MTR-00053,2025-05-03,56.6,3.2,N
RDG-000123,MTR-00054,2025-05-04,57.9,3.8,N
RDG-000124,MTR-00055,2025-05-05,59.2,4.4,N
RDG-000125,MTR-00056,2025-05-06,60.5,5.0,N
RDG-000126,MTR-00057,2025-05-07,61.8,5.6,N
RDG-000127,MTR-00058,2025-05-08,63.1,6.2,N
RDG-000128,MTR-00059,2025-05-09,64.4,6.8,N
RDG-000129,MTR-00060,2025-05-10,65.7,7.4,N
RDG-000130,MTR-00061,2025-05-11,67.0,2.0,N
RDG-000131,MTR-00062,2025-05-12,68.3,2.6,N
RDG-000132,MTR-00063,2025-05-13,69.6,3.2,N
RDG-000133,MTR-00064,2025-05-14,70.9,3.8,Y
RDG-000134,MTR-00065,2025-05-15,72.2,4.4,N
RDG-000135,MTR-00066,2025-05-16,73.5,5.0,N
RDG-000136,MTR-00067,2025-05-17,74.8,5.6,N
RDG-000137,MTR-00068,2025-05-18,76.1,6.2,N
RDG-000138,MTR-00069,2025-05-19,77.4,6.8,N
RDG-000139,MTR-00070,2025-05-20,78.7,7.4,N
RDG-000140,MTR-00001,2025-05-21,80.0,2.0,N
RDG-000141,MTR-00002,2025-05-22,81.3,2.6,N
RDG-000142,MTR-00003,2025-05-23,82.6,3.2,N
RDG-000143,MTR-00004,2025-05-24,83.9,3.8,N
RDG-000144,MTR-00005,2025-05-25,85.2,4.4,N
RDG-000145,MTR-00006,2025-05-26,86.5,5.0,N
RDG-000146,MTR-00007,2025-05-27,87.8,5.6,N
RDG-000147,MTR-00008,2025-05-28,89.1,6.2,N
RDG-000148,MTR-00009,2025-05-29,90.4,6.8,N
RDG-000149,MTR-00010,2025-05-30,91.7,7.4,N
RDG-000150,MTR-00011,2025-05-31,93.0,2.0,N
RDG-000151,MTR-00012,2025-06-01,94.3,2.6,N
RDG-000152,MTR-00013,2025-06-02,95.6,3.2,Y
RDG-000153,MTR-00014,2025-06-03,96.9,3.8,N
RDG-000154,MTR-00015,2025-06-04,98.2,4.4,N
RDG-000155,MTR-00016,2025-06-05,99.5,5.0,N
RDG-000156,MTR-00017,2025-06-06,100.8,5.6,N
RDG-000157,MTR-00018,2025-06-07,102.1,6.2,N
RDG-000158,MTR-00019,2025-06-08,103.4,6.8,N
RDG-000159,MTR-00020,2025-06-09,104.7,7.4,N
RDG-000160,MTR-00021,2025-06-10,106.0,2.0,N
RDG-000161,MTR-00022,2025-06-11,107.3,2.6,N
RDG-000162,MTR-00023,2025-06-12,108.6,3.2,N
RDG-000163,MTR-00024,2025-06-13,109.9,3.8,N
RDG-000164,MTR-00025,2025-06-14,111.2,4.4,N
RDG-000165,MTR-00026,2025-06-15,112.5,5.0,N
RDG-000166,MTR-00027,2025-06-16,113.8,5.6,N
RDG-000167,MTR-00028,2025-06-17,115.1,6.2,N
RDG-000168,MTR-00029,2025-06-18,116.4,6.8,N
RDG-000169,MTR-00030,2025-06-19,117.7,7.4,N
RDG-000170,MTR-00031,2025-06-20,119.0,2.0,N
RDG-000171,MTR-00032,2025-06-21,120.3,2.6,Y
RDG-000172,MTR-00033,2025-06-22,121.6,3.2,N
RDG-000173,MTR-00034,2025-06-23,122.9,3.8,N
RDG-000174,MTR-00035,2025-06-24,124.2,4.4,N
RDG-000175,MTR-00036,2025-06-25,125.5,5.0,N
RDG-000176,MTR-00037,2025-06-26,126.8,5.6,N
RDG-000177,MTR-00038,2025-06-27,128.1,6.2,N
RDG-000178,MTR-00039,2025-06-28,129.4,6.8,N
RDG-000179,MTR-00040,2025-06-29,130.7,7.4,N
RDG-000180,MTR-00041,2025-06-30,15.0,2.0,N
RDG-000181,MTR-00042,2025-07-01,16.3,2.6,N
RDG-000182,MTR-00043,2025-07-02,17.6,3.2,N
RDG-000183,MTR-00044,2025-07-03,18.9,3.8,N
RDG-000184,MTR-00045,2025-07-04,20.2,4.4,N
RDG-000185,MTR-00046,2025-07-05,21.5,5.0,N
RDG-000186,MTR-00047,2025-07-06,22.8,5.6,N
RDG-000187,MTR-00048,2025-07-07,24.1,6.2,N
RDG-000188,MTR-00049,2025-07-08,25.4,6.8,N
RDG-000189,MTR-00050,2025-07-09,26.7,7.4,N
RDG-000190,MTR-00051,2025-07-10,28.0,2.0,Y
RDG-000191,MTR-00052,2025-07-11,29.3,2.6,N
RDG-000192,MTR-00053,2025-07-12,30.6,3.2,N
RDG-000193,MTR-00054,2025-07-13,31.9,3.8,N
RDG-000194,MTR-00055,2025-07-14,33.2,4.4,N
RDG-000195,MTR-00056,2025-07-15,34.5,5.0,N
RDG-000196,MTR-00057,2025-07-16,35.8,5.6,N
RDG-000197,MTR-00058,2025-07-17,37.1,6.2,N
RDG-000198,MTR-00059,2025-07-18,38.4,6.8,N
RDG-000199,MTR-00060,2025-07-19,39.7,7.4,N
RDG-000200,MTR-00061,2025-07-20,41.0,2.0,N
RDG-000201,MTR-00062,2025-07-21,42.3,2.6,N
RDG-000202,MTR-00063,2025-07-22,43.6,3.2,N
RDG-000203,MTR-00064,2025-07-23,44.9,3.8,N
RDG-000204,MTR-00065,2025-07-24,46.2,4.4,N
RDG-000205,MTR-00066,2025-07-25,47.5,5.0,N
RDG-000206,MTR-00067,2025-07-26,48.8,5.6,N
RDG-000207,MTR-00068,2025-07-27,50.1,6.2,N
RDG-000208,MTR-00069,2025-07-28,51.4,6.8,N
RDG-000209,MTR-00070,2025-07-29,52.7,7.4,Y
RDG-000210,MTR-00001,2025-07-30,54.0,2.0,N
RDG-000211,MTR-00002,2025-07-31,55.3,2.6,N
RDG-000212,MTR-00003,2025-08-01,56.6,3.2,N
RDG-000213,MTR-00004,2025-08-02,57.9,3.8,N
RDG-000214,MTR-00005,2025-08-03,59.2,4.4,N
RDG-000215,MTR-00006,2025-08-04,60.5,5.0,N
RDG-000216,MTR-00007,2025-08-05,61.8,5.6,N
RDG-000217,MTR-00008,2025-08-06,63.1,6.2,N
RDG-000218,MTR-00009,2025-08-07,64.4,6.8,N
RDG-000219,MTR-00010,2025-08-08,65.7,7.4,N
RDG-000220,MTR-00011,2025-08-09,67.0,2.0,N
RDG-000221,MTR-00012,2025-08-10,68.3,2.6,N
RDG-000222,MTR-00013,2025-08-11,69.6,3.2,N
RDG-000223,MTR-00014,2025-08-12,70.9,3.8,N
RDG-000224,MTR-00015,2025-08-13,72.2,4.4,N
RDG-000225,MTR-00016,2025-08-14,73.5,5.0,N
RDG-000226,MTR-00017,2025-08-15,74.8,5.6,N
RDG-000227,MTR-00018,2025-08-16,76.1,6.2,N
RDG-000228,MTR-00019,2025-08-17,77.4,6.8,Y
RDG-000229,MTR-00020,2025-08-18,78.7,7.4,N
RDG-000230,MTR-00021,2025-08-19,80.0,2.0,N
RDG-000231,MTR-00022,2025-08-20,81.3,2.6,N
RDG-000232,MTR-00023,2025-08-21,82.6,3.2,N
RDG-000233,MTR-00024,2025-08-22,83.9,3.8,N
RDG-000234,MTR-00025,2025-08-23,85.2,4.4,N
RDG-000235,MTR-00026,2025-08-24,86.5,5.0,N
RDG-000236,MTR-00027,2025-08-25,87.8,5.6,N
RDG-000237,MTR-00028,2025-08-26,89.1,6.2,N
RDG-000238,MTR-00029,2025-08-27,90.4,6.8,N
RDG-000239,MTR-00030,2025-08-28,91.7,7.4,N
RDG-000240,MTR-00031,2025-08-29,93.0,2.0,N
RDG-000241,MTR-00032,2025-08-30,94.3,2.6,N
RDG-000242,MTR-00033,2025-08-31,95.6,3.2,N
RDG-000243,MTR-00034,2025-09-01,96.9,3.8,N
RDG-000244,MTR-00035,2025-09-02,98.2,4.4,N
RDG-000245,MTR-00036,2025-09-03,99.5,5.0,N
RDG-000246,MTR-00037,2025-09-04,100.8,5.6,N
RDG-000247,MTR-00038,2025-09-05,102.1,6.2,Y
RDG-000248,MTR-00039,2025-09-06,103.4,6.8,N
RDG-000249,MTR-00040,2025-09-07,104.7,7.4,N
RDG-000250,MTR-00041,2025-09-08,106.0,2.0,N
RDG-000251,MTR-00042,2025-09-09,107.3,2.6,N
RDG-000252,MTR-00043,2025-09-10,108.6,3.2,N
RDG-000253,MTR-00044,2025-09-11,109.9,3.8,N
RDG-000254,MTR-00045,2025-09-12,111.2,4.4,N
RDG-000255,MTR-00046,2025-09-13,112.5,5.0,N
RDG-000256,MTR-00047,2025-09-14,113.8,5.6,N
RDG-000257,MTR-00048,2025-09-15,115.1,6.2,N
RDG-000258,MTR-00049,2025-09-16,116.4,6.8,N
RDG-000259,MTR-00050,2025-09-17,117.7,7.4,N
RDG-000260,MTR-00051,2025-09-18,119.0,2.0,N
RDG-000261,MTR-00052,2025-09-19,120.3,2.6,N
RDG-000262,MTR-00053,2025-09-20,121.6,3.2,N
RDG-000263,MTR-00054,2025-09-21,122.9,3.8,N
RDG-000264,MTR-00055,2025-09-22,124.2,4.4,N
RDG-000265,MTR-00056,2025-09-23,125.5,5.0,N
RDG-000266,MTR-00057,2025-09-24,126.8,5.6,Y
RDG-000267,MTR-00058,2025-09-25,128.1,6.2,N
RDG-000268,MTR-00059,2025-09-26,129.4,6.8,N
RDG-000269,MTR-00060,2025-09-27,130.7,7.4,N
RDG-000270,MTR-00061,2025-09-28,15.0,2.0,N
RDG-000271,MTR-00062,2025-09-29,16.3,2.6,N
RDG-000272,MTR-00063,2025-09-30,17.6,3.2,N
RDG-000273,MTR-00064,2025-10-01,18.9,3.8,N
RDG-000274,MTR-00065,2025-10-02,20.2,4.4,N
RDG-000275,MTR-00066,2025-10-03,21.5,5.0,N
RDG-000276,MTR-00067,2025-10-04,22.8,5.6,N
RDG-000277,MTR-00068,2025-10-05,24.1,6.2,N
RDG-000278,MTR-00069,2025-10-06,25.4,6.8,N
RDG-000279,MTR-00070,2025-10-07,26.7,7.4,N
RDG-000280,MTR-00001,2025-10-08,28.0,2.0,N
RDG-000281,MTR-00002,2025-10-09,29.3,2.6,N
RDG-000282,MTR-00003,2025-10-10,30.6,3.2,N
RDG-000283,MTR-00004,2025-10-11,31.9,3.8,N
RDG-000284,MTR-00005,2025-10-12,33.2,4.4,N
RDG-000285,MTR-00006,2025-10-13,34.5,5.0,Y
RDG-000286,MTR-00007,2025-10-14,35.8,5.6,N
RDG-000287,MTR-00008,2025-10-15,37.1,6.2,N
RDG-000288,MTR-00009,2025-10-16,38.4,6.8,N
RDG-000289,MTR-00010,2025-10-17,39.7,7.4,N
RDG-000290,MTR-00011,2025-10-18,41.0,2.0,N
RDG-000291,MTR-00012,2025-10-19,42.3,2.6,N
RDG-000292,MTR-00013,2025-10-20,43.6,3.2,N
RDG-000293,MTR-00014,2025-10-21,44.9,3.8,N
RDG-000294,MTR-00015,2025-10-22,46.2,4.4,N
RDG-000295,MTR-00016,2025-10-23,47.5,5.0,N
RDG-000296,MTR-00017,2025-10-24,48.8,5.6,N
RDG-000297,MTR-00018,2025-10-25,50.1,6.2,N
RDG-000298,MTR-00019,2025-10-26,51.4,6.8,N
RDG-000299,MTR-00020,2025-10-27,52.7,7.4,N
RDG-000300,MTR-00021,2025-10-28,54.0,2.0,N
