bill_id,customer_id,meter_id,tariff_id,bill_date,billing_amount,due_amount,payment_status
BIL-000117,CUS-0028,MTR-00048,TAR-001,2025-04-28,5056.6,340,Paid
BIL-000118,CUS-0029,MTR-00049,TAR-002,2025-04-29,5096.4,420,Paid
BIL-000119,CUS-0030,MTR-00050,TAR-003,2025-04-30,5136.2,500,Paid
BIL-000120,CUS-0031,MTR-00051,TAR-001,2025-05-01,5176.0,100,Overdue
BIL-000121,CUS-0032,MTR-00052,TAR-002,2025-05-02,5215.8,180,Paid
BIL-000122,CUS-0033,MTR-00053,TAR-003,2025-05-03,5255.6,260,Paid
BIL-000123,CUS-0034,MTR-00054,TAR-001,2025-05-04,5295.4,340,Paid
BIL-000124,CUS-0035,MTR-00055,TAR-002,2025-05-05,5335.2,420,Overdue
BIL-000125,CUS-0036,MTR-00056,TAR-003,2025-05-06,5375.0,500,Paid
BIL-000126,CUS-0037,MTR-00057,TAR-001,2025-05-07,5414.8,100,Paid
BIL-000127,CUS-0038,MTR-00058,TAR-002,2025-05-08,5454.6,180,Paid
BIL-000128,CUS-0039,MTR-00059,TAR-003,2025-05-09,5494.4,260,Overdue
BIL-000129,CUS-0040,MTR-00060,TAR-001,2025-05-10,5534.2,340,Paid
BIL-000130,CUS-0041,MTR-00061,TAR-002,2025-05-11,5574.0,420,Paid
