claim_id,policy_id,claim_date,claim_type,claim_amount,approved_amount,claim_status
CLM-000072,POL-00003,2025-03-14,Accident,14600.8,11822.4,Approved
CLM-000073,POL-00004,2025-03-15,Theft,14789.7,11974.1,Pending
CLM-000074,POL-00005,2025-03-16,Damage,14978.6,12125.8,Rejected
CLM-000075,POL-00006,2025-03-17,Accident,15167.5,12277.5,Approved
CLM-000076,POL-00007,2025-03-18,Theft,15356.4,12429.2,Pending
CLM-000077,POL-00008,2025-03-19,Damage,15545.3,12580.9,Rejected
CLM-000078,POL-00009,2025-03-20,Accident,15734.2,12732.6,Approved
CLM-000079,POL-00010,2025-03-21,Theft,15923.1,12884.3,Pending
CLM-000080,POL-00011,2025-03-22,Damage,16112.0,13036.0,Rejected
CLM-000081,POL-00012,2025-03-23,Accident,16300.9,13187.7,Approved
CLM-000082,POL-00013,2025-03-24,Theft,16489.8,13339.4,Pending
CLM-000083,POL-00014,2025-03-25,Damage,16678.7,13491.1,Rejected
CLM-000084,POL-00015,2025-03-26,Accident,16867.6,13642.8,Approved
CLM-000085,POL-00016,2025-03-27,Theft,17056.5,13794.5,Pending
CLM-000086,POL-00017,2025-03-28,Damage,17245.4,13946.2,Rejected
CLM-000087,POL-00018,2025-03-29,Accident,17434.3,14097.9,Approved
CLM-000088,POL-00019,2025-03-30,Theft,17623.2,14249.6,Pending
CLM-000089,POL-00020,2025-03-31,Damage,17812.1,14401.3,Rejected
CLM-000090,POL-00021,2025-04-01,Accident,18001.0,14553.0,Approved
CLM-000091,POL-00022,2025-04-02,Theft,18189.9,14704.7,Pending
CLM-000092,POL-00023,2025-04-03,Damage,18378.8,14856.4,Rejected
CLM-000093,POL-00024,2025-04-04,Accident,18567.7,15008.1,Approved
CLM-000094,POL-00025,2025-04-05,Theft,18756.6,15159.8,Pending
CLM-000095,POL-00026,2025-04-06,Damage,18945.5,15311.5,Rejected
CLM-000096,POL-00027,2025-04-07,Accident,19134.4,15463.2,Approved
CLM-000097,POL-00028,2025-04-08,Theft,19323.3,15614.9,Pending
CLM-000098,POL-00029,2025-04-09,Damage,19512.2,15766.6,Rejected
CLM-000099,POL-00030,2025-04-10,Accident,19701.1,15918.3,Approved
CLM-000100,POL-00031,2025-04-11,Theft,19890.0,16070.0,Pending
CLM-000101,POL-00032,2025-04-12,Damage,20078.9,16221.7,Rejected
CLM-000102,POL-00033,2025-04-13,Accident,20267.8,16373.4,Approved
CLM-000103,POL-00034,2025-04-14,Theft,20456.7,16525.1,Pending
CLM-000104,POL-00035,2025-04-15,Damage,20645.6,16676.8,Rejected
CLM-000105,POL-00036,2025-04-16,Accident,20834.5,16828.5,Approved
CLM-000106,POL-00037,2025-04-17,Theft,21023.4,16980.2,Pending
CLM-000107,POL-00038,2025-04-18,Damage,21212.3,17131.9,Rejected
CLM-000108,POL-00039,2025-04-19,Accident,21401.2,17283.6,Approved
CLM-000109,POL-00040,2025-04-20,Theft,21590.1,17435.3,Pending
CLM-000110,POL-00041,2025-04-21,Damage,21779.0,17587.0,Rejected
CLM-000111,POL-00042,2025-04-22,Accident,21967.9,17738.7,Approved
CLM-000112,POL-00043,2025-04-23,Theft,22156.8,17890.4,Pending
CLM-000113,POL-00044,2025-04-24,Damage,22345.7,18042.1,Rejected
CLM-000114,POL-00045,2025-04-25,Accident,22534.6,18193.8,Approved
CLM-000115,POL-00046,2025-04-26,Theft,22723.5,18345.5,Pending
CLM-000116,POL-00047,2025-04-27,Damage,22912.4,18497.2,Rejected
CLM-000117,POL-00048,2025-04-28,Accident,23101.3,18648.9,Approved
CLM-000118,POL-00049,2025-04-29,Theft,23290.2,18800.6,Pending
CLM-000119,POL-00050,2025-04-30,Damage,23479.1,18952.3,Rejected
CLM-000120,POL-00051,2025-05-01,Accident,23668.0,19104.0,Approved
