policy_id,customer_id,agent_id,vehicle_id,policy_start_date,policy_end_date,premium_amount,policy_status
POL-00025,CUS-0026,AGT-002,VEH-0026,2025-01-26,2026-01-26,6280.0,Active
POL-00026,CUS-0027,AGT-003,VEH-0027,2025-01-27,2026-01-27,6391.2,Active
POL-00027,CUS-0028,AGT-004,VEH-0028,2025-01-28,2026-01-28,6502.4,Active
POL-00028,CUS-0029,AGT-005,VEH-0029,2025-01-29,2026-01-29,6613.6,Active
POL-00029,CUS-0030,AGT-006,VEH-0030,2025-01-30,2026-01-30,6724.8,Active
POL-00030,CUS-0031,AGT-007,VEH-0031,2025-01-31,2026-01-31,6836.0,Active
POL-00031,CUS-0032,AGT-008,VEH-0032,2025-02-01,2026-02-01,6947.2,Active
POL-00032,CUS-0033,AGT-001,VEH-0033,2025-02-02,2026-02-02,7058.4,Lapsed
POL-00033,CUS-0034,AGT-002,VEH-0034,2025-02-03,2026-02-03,7169.6,Active
POL-00034,CUS-0035,AGT-003,VEH-0035,2025-02-04,2026-02-04,7280.8,Active
POL-00035,CUS-0036,AGT-004,VEH-0036,2025-02-05,2026-02-05,7392.0,Active
POL-00036,CUS-0037,AGT-005,VEH-0037,2025-02-06,2026-02-06,7503.2,Active
POL-00037,CUS-0038,AGT-006,VEH-0038,2025-02-07,2026-02-07,7614.4,Active
POL-00038,CUS-0039,AGT-007,VEH-0039,2025-02-08,2026-02-08,7725.6,Active
POL-00039,CUS-0040,AGT-008,VEH-0040,2025-02-09,2026-02-09,7836.8,Active
POL-00040,CUS-0001,AGT-001,VEH-0041,2025-02-10,2026-02-10,7948.0,Lapsed
POL-00041,CUS-0002,AGT-002,VEH-0042,2025-02-11,2026-02-11,8059.2,Active
POL-00042,CUS-0003,AGT-003,VEH-0043,2025-02-12,2026-02-12,8170.4,Active
POL-00043,CUS-0004,AGT-004,VEH-0044,2025-02-13,2026-02-13,8281.6,Active
POL-00044,CUS-0005,AGT-005,VEH-0045,2025-02-14,2026-02-14,8392.8,Active
POL-00045,CUS-0006,AGT-006,VEH-0046,2025-02-15,2026-02-15,8504.0,Active
POL-00046,CUS-0007,AGT-007,VEH-0047,2025-02-16,2026-02-16,8615.2,Active
POL-00047,CUS-0008,AGT-008,VEH-0048,2025-02-17,2026-02-17,8726.4,Active
POL-00048,CUS-0009,AGT-001,VEH-0049,2025-02-18,2026-02-18,8837.6,Lapsed
POL-00049,CUS-0010,AGT-002,VEH-0050,2025-02-19,2026-02-19,8948.8,Active
POL-00050,CUS-0011,AGT-003,VEH-0001,2025-02-20,2026-02-20,9060.0,Active
POL-00051,CUS-0012,AGT-004,VEH-0002,2025-02-21,2026-02-21,9171.2,Active
POL-00052,CUS-0013,AGT-005,VEH-0003,2025-02-22,2026-02-22,9282.4,Active
POL-00053,CUS-0014,AGT-006,VEH-0004,2025-02-23,2026-02-23,9393.6,Active
POL-00054,CUS-0015,AGT-007,VEH-0005,2025-02-24,2026-02-24,9504.8,Active
POL-00055,CUS-0016,AGT-008,VEH-0006,2025-02-25,2026-02-25,9616.0,Active
POL-00056,CUS-0017,AGT-001,VEH-0007,2025-02-26,2026-02-26,9727.2,Lapsed
POL-00057,CUS-0018,AGT-002,VEH-0008,2025-02-27,2026-02-27,9838.4,Active
POL-00058,CUS-0019,AGT-003,VEH-0009,2025-02-28,2026-02-28,9949.6,Active
POL-00059,CUS-0020,AGT-004,VEH-0010,2025-03-01,2026-03-01,10060.8,Active
POL-00060,CUS-0021,AGT-005,VEH-0011,2025-03-02,2026-03-02,10172.0,Active
POL-00061,CUS-0022,AGT-006,VEH-0012,2025-03-03,2026-03-03,10283.2,Active
POL-00062,CUS-0023,AGT-007,VEH-0013,2025-03-04,2026-03-04,10394.4,Active
POL-00063,CUS-0024,AGT-008,VEH-0014,2025-03-05,2026-03-05,10505.6,Active
POL-00064,CUS-0025,AGT-001,VEH-0015,2025-03-06,2026-03-06,10616.8,Lapsed
POL-00065,CUS-0026,AGT-002,VEH-0016,2025-03-07,2026-03-07,10728.0,Active
POL-00066,CUS-0027,AGT-003,VEH-0017,2025-03-08,2026-03-08,10839.2,Active
POL-00067,CUS-0028,AGT-004,VEH-0018,2025-03-09,2026-03-09,10950.4,Active
POL-00068,CUS-0029,AGT-005,VEH-0019,2025-03-10,2026-03-10,11061.6,Active
POL-00069,CUS-0030,AGT-006,VEH-0020,2025-03-11,2026-03-11,11172.8,Active
POL-00070,CUS-0031,AGT-007,VEH-0021,2025-03-12,2026-03-12,11284.0,Active
