service_order_id,vehicle_id,dealer_id,service_date,service_type,labor_cost,total_cost
SVC-000068,VEH-0014,DLR-003,2025-03-10,Recall,2689.6,4011.6
SVC-000069,VEH-0015,DLR-004,2025-03-11,Routine,2721.8,4060.3
SVC-000070,VEH-0016,DLR-005,2025-03-12,Repair,2754.0,4109.0
SVC-000071,VEH-0017,DLR-006,2025-03-13,Recall,2786.2,4157.7
SVC-000072,VEH-0018,DLR-001,2025-03-14,Routine,2818.4,4206.4
SVC-000073,VEH-0019,DLR-002,2025-03-15,Repair,2850.6,4255.1
SVC-000074,VEH-0020,DLR-003,2025-03-16,Recall,2882.8,4303.8
SVC-000075,VEH-0021,DLR-004,2025-03-17,Routine,2915.0,4352.5
SVC-000076,VEH-0022,DLR-005,2025-03-18,Repair,2947.2,4401.2
SVC-000077,VEH-0023,DLR-006,2025-03-19,Recall,2979.4,4449.9
SVC-000078,VEH-0024,DLR-001,2025-03-20,Routine,3011.6,4498.6
SVC-000079,VEH-0025,DLR-002,2025-03-21,Repair,3043.8,4547.3
SVC-000080,VEH-0026,DLR-003,2025-03-22,Recall,3076.0,4596.0
SVC-000081,VEH-0027,DLR-004,2025-03-23,Routine,3108.2,4644.7
SVC-000082,VEH-0028,DLR-005,2025-03-24,Repair,3140.4,4693.4
SVC-000083,VEH-0029,DLR-006,2025-03-25,Recall,3172.6,4742.1
SVC-000084,VEH-0030,DLR-001,2025-03-26,Routine,3204.8,4790.8
SVC-000085,VEH-0031,DLR-002,2025-03-27,Repair,3237.0,4839.5
SVC-000086,VEH-0032,DLR-003,2025-03-28,Recall,3269.2,4888.2
SVC-000087,VEH-0033,DLR-004,2025-03-29,Routine,3301.4,4936.9
SVC-000088,VEH-0034,DLR-005,2025-03-30,Repair,3333.6,4985.6
SVC-000089,VEH-0035,DLR-006,2025-03-31,Recall,3365.8,5034.3
SVC-000090,VEH-0036,DLR-001,2025-04-01,Routine,3398.0,5083.0
SVC-000091,VEH-0037,DLR-002,2025-04-02,Repair,3430.2,5131.7
SVC-000092,VEH-0038,DLR-003,2025-04-03,Recall,3462.4,5180.4
SVC-000093,VEH-0039,DLR-004,2025-04-04,Routine,3494.6,5229.1
SVC-000094,VEH-0040,DLR-005,2025-04-05,Repair,3526.8,5277.8
SVC-000095,VEH-0041,DLR-006,2025-04-06,Recall,3559.0,5326.5
SVC-000096,VEH-0042,DLR-001,2025-04-07,Routine,3591.2,5375.2
SVC-000097,VEH-0043,DLR-002,2025-04-08,Repair,3623.4,5423.9
SVC-000098,VEH-0044,DLR-003,2025-04-09,Recall,3655.6,5472.6
SVC-000099,VEH-0045,DLR-004,2025-04-10,Routine,3687.8,5521.3
SVC-000100,VEH-0046,DLR-005,2025-04-11,Repair,3720.0,5570.0
SVC-000101,VEH-0047,DLR-006,2025-04-12,Recall,3752.2,5618.7
SVC-000102,VEH-0048,DLR-001,2025-04-13,Routine,3784.4,5667.4
SVC-000103,VEH-0049,DLR-002,2025-04-14,Repair,3816.6,5716.1
SVC-000104,VEH-0050,DLR-003,2025-04-15,Recall,3848.8,5764.8
SVC-000105,VEH-0051,DLR-004,2025-04-16,Routine,3881.0,5813.5
SVC-000106,VEH-0052,DLR-005,2025-04-17,Repair,3913.2,5862.2
SVC-000107,VEH-0053,DLR-006,2025-04-18,Recall,3945.4,5910.9
SVC-000108,VEH-0054,DLR-001,2025-04-19,Routine,3977.6,5959.6
SVC-000109,VEH-0055,DLR-002,2025-04-20,Repair,4009.8,6008.3
SVC-000110,VEH-0001,DLR-003,2025-04-21,Recall,4042.0,6057.0
SVC-000111,VEH-0002,DLR-004,2025-04-22,Routine,4074.2,6105.7
SVC-000112,VEH-0003,DLR-005,2025-04-23,Repair,4106.4,6154.4
SVC-000113,VEH-0004,DLR-006,2025-04-24,Recall,4138.6,6203.1
SVC-000114,VEH-0005,DLR-001,2025-04-25,Routine,4170.8,6251.8
SVC-000115,VEH-0006,DLR-002,2025-04-26,Repair,4203.0,6300.5
SVC-000116,VEH-0007,DLR-003,2025-04-27,Recall,4235.2,6349.2
SVC-000117,VEH-0008,DLR-004,2025-04-28,Routine,4267.4,6397.9
SVC-000118,VEH-0009,DLR-005,2025-04-29,Repair,4299.6,6446.6
SVC-000119,VEH-0010,DLR-006,2025-04-30,Recall,4331.8,6495.3
SVC-000120,VEH-0011,DLR-001,2025-05-01,Routine,4364.0,6544.0
SVC-000121,VEH-0012,DLR-002,2025-05-02,Repair,4396.2,6592.7
SVC-000122,VEH-0013,DLR-003,2025-05-03,Recall,4428.4,6641.4
SVC-000123,VEH-0014,DLR-004,2025-05-04,Routine,4460.6,6690.1
SVC-000124,VEH-0015,DLR-005,2025-05-05,Repair,4492.8,6738.8
SVC-000125,VEH-0016,DLR-006,2025-05-06,Recall,4525.0,6787.5
SVC-000126,VEH-0017,DLR-001,2025-05-07,Routine,4557.2,6836.2
SVC-000127,VEH-0018,DLR-002,2025-05-08,Repair,4589.4,6884.9
SVC-000128,VEH-0019,DLR-003,2025-05-09,Recall,4621.6,6933.6
SVC-000129,VEH-0020,DLR-004,2025-05-10,Routine,4653.8,6982.3
SVC-000130,VEH-0021,DLR-005,2025-05-11,Repair,4686.0,7031.0
