service_part_id,service_order_id,part_id,quantity,part_cost
SP-00063,SVC-000064,PAR-0014,4,1284.8
SP-00064,SVC-000065,PAR-0015,1,337.0
SP-00065,SVC-000066,PAR-0016,2,705.6
SP-00066,SVC-000067,PAR-0017,3,1105.8
SP-00067,SVC-000068,PAR-0018,4,1537.6
SP-00068,SVC-000069,PAR-0019,1,400.2
SP-00069,SVC-000070,PAR-0020,2,832.0
SP-00070,SVC-000071,PAR-0021,3,1295.4
SP-00071,SVC-000072,PAR-0022,4,1790.4
SP-00072,SVC-000073,PAR-0023,1,463.4
SP-00073,SVC-000074,PAR-0024,2,958.4
SP-00074,SVC-000075,PAR-0025,3,1485.0
SP-00075,SVC-000076,PAR-0001,4,463.2
SP-00076,SVC-000077,PAR-0002,1,131.6
SP-00077,SVC-000078,PAR-0003,2,294.8
SP-00078,SVC-000079,PAR-0004,3,489.6
SP-00079,SVC-000080,PAR-0005,4,716.0
SP-00080,SVC-000081,PAR-0006,1,194.8
SP-00081,SVC-000082,PAR-0007,2,421.2
SP-00082,SVC-000083,PAR-0008,3,679.2
SP-00083,SVC-000084,PAR-0009,4,968.8
SP-00084,SVC-000085,PAR-0010,1,258.0
SP-00085,SVC-000086,PAR-0011,2,547.6
SP-00086,SVC-000087,PAR-0012,3,868.8
SP-00087,SVC-000088,PAR-0013,4,1221.6
SP-00088,SVC-000089,PAR-0014,1,321.2
SP-00089,SVC-000090,PAR-0015,2,674.0
SP-00090,SVC-000091,PAR-0016,3,1058.4
SP-00091,SVC-000092,PAR-0017,4,1474.4
SP-00092,SVC-000093,PAR-0018,1,384.4
SP-00093,SVC-000094,PAR-0019,2,800.4
SP-00094,SVC-000095,PAR-0020,3,1248.0
SP-00095,SVC-000096,PAR-0021,4,1727.2
SP-00096,SVC-000097,PAR-0022,1,447.6
SP-00097,SVC-000098,PAR-0023,2,926.8
SP-00098,SVC-000099,PAR-0024,3,1437.6
SP-00099,SVC-000100,PAR-0025,4,1980.0
SP-00100,SVC-000101,PAR-0001,1,115.8
SP-00101,SVC-000102,PAR-0002,2,263.2
SP-00102,SVC-000103,PAR-0003,3,442.2
SP-00103,SVC-000104,PAR-0004,4,652.8
SP-00104,SVC-000105,PAR-0005,1,179.0
SP-00105,SVC-000106,PAR-0006,2,389.6
SP-00106,SVC-000107,PAR-0007,3,631.8
SP-00107,SVC-000108,PAR-0008,4,905.6
SP-00108,SVC-000109,PAR-0009,1,242.2
SP-00109,SVC-000110,PAR-0010,2,516.0
SP-00110,SVC-000111,PAR-0011,3,821.4
SP-00111,SVC-000112,PAR-0012,4,1158.4
SP-00112,SVC-000113,PAR-0013,1,305.4
SP-00113,SVC-000114,PAR-0014,2,642.4
SP-00114,SVC-000115,PAR-0015,3,1011.0
SP-00115,SVC-000116,PAR-0016,4,1411.2
SP-00116,SVC-000117,PAR-0017,1,368.6
SP-00117,SVC-000118,PAR-0018,2,768.8
SP-00118,SVC-000119,PAR-0019,3,1200.6
SP-00119,SVC-000120,PAR-0020,4,1664.0
SP-00120,SVC-000121,PAR-0021,1,431.8
SP-00121,SVC-000122,PAR-0022,2,895.2
SP-00122,SVC-000123,PAR-0023,3,1390.2
SP-00123,SVC-000124,PAR-0024,4,1916.8
SP-00124,SVC-000125,PAR-0025,1,495.0
SP-00125,SVC-000126,PAR-0001,2,231.6
SP-00126,SVC-000127,PAR-0002,3,394.8
SP-00127,SVC-000128,PAR-0003,4,589.6
SP-00128,SVC-000129,PAR-0004,1,163.2
SP-00129,SVC-000130,PAR-0005,2,358.0
SP-00130,SVC-000001,PAR-0006,3,584.4
SP-00131,SVC-000002,PAR-0007,4,842.4
SP-00132,SVC-000003,PAR-0008,1,226.4
SP-00133,SVC-000004,PAR-0009,2,484.4
SP-00134,SVC-000005,PAR-0010,3,774.0
SP-00135,SVC-000006,PAR-0011,4,1095.2
SP-00136,SVC-000007,PAR-0012,1,289.6
SP-00137,SVC-000008,PAR-0013,2,610.8
SP-00138,SVC-000009,PAR-0014,3,963.6
SP-00139,SVC-000010,PAR-0015,4,1348.0
SP-00140,SVC-000011,PAR-0016,1,352.8
SP-00141,SVC-000012,PAR-0017,2,737.2
SP-00142,SVC-000013,PAR-0018,3,1153.2
SP-00143,SVC-000014,PAR-0019,4,1600.8
SP-00144,SVC-000015,PAR-0020,1,416.0
SP-00145,SVC-000016,PAR-0021,2,863.6
SP-00146,SVC-000017,PAR-0022,3,1342.8
SP-00147,SVC-000018,PAR-0023,4,1853.6
SP-00148,SVC-000019,PAR-0024,1,479.2
SP-00149,SVC-000020,PAR-0025,2,990.0
SP-00150,SVC-000021,PAR-0001,3,347.4
SP-00151,SVC-000022,PAR-0002,4,526.4
SP-00152,SVC-000023,PAR-0003,1,147.4
SP-00153,SVC-000024,PAR-0004,2,326.4
SP-00154,SVC-000025,PAR-0005,3,537.0
SP-00155,SVC-000026,PAR-0006,4,779.2
SP-00156,SVC-000027,PAR-0007,1,210.6
SP-00157,SVC-000028,PAR-0008,2,452.8
SP-00158,SVC-000029,PAR-0009,3,726.6
SP-00159,SVC-000030,PAR-0010,4,1032.0
SP-00160,SVC-000031,PAR-0011,1,273.8
SP-00161,SVC-000032,PAR-0012,2,579.2
SP-00162,SVC-000033,PAR-0013,3,916.2
SP-00163,SVC-000034,PAR-0014,4,1284.8
SP-00164,SVC-000035,PAR-0015,1,337.0
SP-00165,SVC-000036,PAR-0016,2,705.6
SP-00166,SVC-000037,PAR-0017,3,1105.8
SP-00167,SVC-000038,PAR-0018,4,1537.6
SP-00168,SVC-000039,PAR-0019,1,400.2
SP-00169,SVC-000040,PAR-0020,2,832.0
SP-00170,SVC-000041,PAR-0021,3,1295.4
SP-00171,SVC-000042,PAR-0022,4,1790.4
SP-00172,SVC-000043,PAR-0023,1,463.4
SP-00173,SVC-000044,PAR-0024,2,958.4
SP-00174,SVC-000045,PAR-0025,3,1485.0
SP-00175,SVC-000046,PAR-0001,4,463.2
SP-00176,SVC-000047,PAR-0002,1,131.6
SP-00177,SVC-000048,PAR-0003,2,294.8
SP-00178,SVC-000049,PAR-0004,3,489.6
SP-00179,SVC-000050,PAR-0005,4,716.0
SP-00180,SVC-000051,PAR-0006,1,194.8
SP-00181,SVC-000052,PAR-0007,2,421.2
SP-00182,SVC-000053,PAR-0008,3,679.2
SP-00183,SVC-000054,PAR-0009,4,968.8
SP-00184,SVC-000055,PAR-0010,1,258.0
SP-00185,SVC-000056,PAR-0011,2,547.6
SP-00186,SVC-000057,PAR-0012,3,868.8
SP-00187,SVC-000058,PAR-0013,4,1221.6
SP-00188,SVC-000059,PAR-0014,1,321.2
SP-00189,SVC-000060,PAR-0015,2,674.0
SP-00190,SVC-000061,PAR-0016,3,1058.4
SP-00191,SVC-000062,PAR-0017,4,1474.4
SP-00192,SVC-000063,PAR-0018,1,384.4
SP-00193,SVC-000064,PAR-0019,2,800.4
SP-00194,SVC-000065,PAR-0020,3,1248.0
SP-00195,SVC-000066,PAR-0021,4,1727.2
SP-00196,SVC-000067,PAR-0022,1,447.6
SP-00197,SVC-000068,PAR-0023,2,926.8
SP-00198,SVC-000069,PAR-0024,3,1437.6
SP-00199,SVC-000070,PAR-0025,4,1980.0
SP-00200,SVC-000071,PAR-0001,1,115.8
