transaction_id,account_id,transaction_date,transaction_type,amount,merchant_name,reference_number
TXN-000048,ACC-00049,2025-02-18,Debit,1416.64,Merchant 8,REF-00048
TXN-000049,ACC-00050,2025-02-19,Credit,1444.07,Merchant 9,REF-00049
TXN-000050,ACC-00051,2025-02-20,Transfer,1471.5,Merchant 10,REF-00050
TXN-000051,ACC-00052,2025-02-21,Debit,1498.93,Merchant 11,REF-00051
TXN-000052,ACC-00053,2025-02-22,Credit,1526.36,Merchant 12,REF-00052
TXN-000053,ACC-00054,2025-02-23,Transfer,1553.79,Merchant 13,REF-00053
TXN-000054,ACC-00055,2025-02-24,Debit,1581.22,Merchant 14,REF-00054
TXN-000055,ACC-00056,2025-02-25,Credit,1608.65,Merchant 15,REF-00055
TXN-000056,ACC-00057,2025-02-26,Transfer,1636.08,Merchant 16,REF-00056
TXN-000057,ACC-00058,2025-02-27,Debit,1663.51,Merchant 17,REF-00057
TXN-000058,ACC-00059,2025-02-28,Credit,1690.94,Merchant 18,REF-00058
TXN-000059,ACC-00060,2025-03-01,Transfer,1718.37,Merchant 19,REF-00059
TXN-000060,ACC-00061,2025-03-02,Debit,1745.8,Merchant 0,REF-00060
TXN-000061,ACC-00062,2025-03-03,Credit,1773.23,Merchant 1,REF-00061
TXN-000062,ACC-00063,2025-03-04,Transfer,1800.66,Merchant 2,REF-00062
TXN-000063,ACC-00064,2025-03-05,Debit,1828.09,Merchant 3,REF-00063
TXN-000064,ACC-00065,2025-03-06,Credit,1855.52,Merchant 4,REF-00064
TXN-000065,ACC-00066,2025-03-07,Transfer,1882.95,Merchant 5,REF-00065
TXN-000066,ACC-00067,2025-03-08,Debit,1910.38,Merchant 6,REF-00066
TXN-000067,ACC-00068,2025-03-09,Credit,1937.81,Merchant 7,REF-00067
TXN-000068,ACC-00069,2025-03-10,Transfer,1965.24,Merchant 8,REF-00068
TXN-000069,ACC-00070,2025-03-11,Debit,1992.67,Merchant 9,REF-00069
TXN-000070,ACC-00001,2025-03-12,Credit,2020.1,Merchant 10,REF-00070
TXN-000071,ACC-00002,2025-03-13,Transfer,2047.53,Merchant 11,REF-00071
TXN-000072,ACC-00003,2025-03-14,Debit,2074.96,Merchant 12,REF-00072
TXN-000073,ACC-00004,2025-03-15,Credit,2102.39,Merchant 13,REF-00073
TXN-000074,ACC-00005,2025-03-16,Transfer,2129.82,Merchant 14,REF-00074
TXN-000075,ACC-00006,2025-03-17,Debit,2157.25,Merchant 15,REF-00075
TXN-000076,ACC-00007,2025-03-18,Credit,2184.68,Merchant 16,REF-00076
TXN-000077,ACC-00008,2025-03-19,Transfer,2212.11,Merchant 17,REF-00077
TXN-000078,ACC-00009,2025-03-20,Debit,2239.54,Merchant 18,REF-00078
TXN-000079,ACC-00010,2025-03-21,Credit,2266.97,Merchant 19,REF-00079
TXN-000080,ACC-00011,2025-03-22,Transfer,2294.4,Merchant 0,REF-00000
TXN-000081,ACC-00012,2025-03-23,Debit,2321.83,Merchant 1,REF-00001
TXN-000082,ACC-00013,2025-03-24,Credit,2349.26,Merchant 2,REF-00002
TXN-000083,ACC-00014,2025-03-25,Transfer,2376.69,Merchant 3,REF-00003
TXN-000084,ACC-00015,2025-03-26,Debit,2404.12,Merchant 4,REF-00004
TXN-000085,ACC-00016,2025-03-27,Credit,2431.55,Merchant 5,REF-00005
TXN-000086,ACC-00017,2025-03-28,Transfer,2458.98,Merchant 6,REF-00006
TXN-000087,ACC-00018,2025-03-29,Debit,2486.41,Merchant 7,REF-00007
TXN-000088,ACC-00019,2025-03-30,Credit,2513.84,Merchant 8,REF-00008
TXN-000089,ACC-00020,2025-03-31,Transfer,2541.27,Merchant 9,REF-00009
TXN-000090,ACC-00021,2025-04-01,Debit,2568.7,Merchant 10,REF-00010
TXN-000091,ACC-00022,2025-04-02,Credit,2596.13,Merchant 11,REF-00011
TXN-000092,ACC-00023,2025-04-03,Transfer,2623.56,Merchant 12,REF-00012
TXN-000093,ACC-00024,2025-04-04,Debit,2650.99,Merchant 13,REF-00013
TXN-000094,ACC-00025,2025-04-05,Credit,2678.42,Merchant 14,REF-00014
TXN-000095,ACC-00026,2025-04-06,Transfer,2705.85,Merchant 15,REF-00015
TXN-000096,ACC-00027,2025-04-07,Debit,2733.28,Merchant 16,REF-00016
TXN-000097,ACC-00028,2025-04-08,Credit,2760.71,Merchant 17,REF-00017
TXN-000098,ACC-00029,2025-04-09,Transfer,2788.14,Merchant 18,REF-00018
TXN-000099,ACC-00030,2025-04-10,Debit,2815.57,Merchant 19,REF-00019
TXN-000100,ACC-00031,2025-04-11,Credit,2843.0,Merchant 0,REF-00020
TXN-000101,ACC-00032,2025-04-12,Transfer,2870.43,Merchant 1,REF-00021
TXN-000102,ACC-00033,2025-04-13,Debit,2897.86,Merchant 2,REF-00022
TXN-000103,ACC-00034,2025-04-14,Credit,2925.29,Merchant 3,REF-00023
TXN-000104,ACC-00035,2025-04-15,Transfer,2952.72,Merchant 4,REF-00024
TXN-000105,ACC-00036,2025-04-16,Debit,2980.15,Merchant 5,REF-00025
TXN-000106,ACC-00037,2025-04-17,Credit,3007.58,Merchant 6,REF-00026
TXN-000107,ACC-00038,2025-04-18,Transfer,3035.01,Merchant 7,REF-00027
TXN-000108,ACC-00039,2025-04-19,Debit,3062.44,Merchant 8,REF-00028
TXN-000109,ACC-00040,2025-04-20,Credit,3089.87,Merchant 9,REF-00029
TXN-000110,ACC-00041,2025-04-21,Transfer,3117.3,Merchant 10,REF-00030
TXN-000111,ACC-00042,2025-04-22,Debit,3144.73,Merchant 11,REF-00031
TXN-000112,ACC-00043,2025-04-23,Credit,3172.16,Merchant 12,REF-00032
TXN-000113,ACC-00044,2025-04-24,Transfer,3199.59,Merchant 13,REF-00033
TXN-000114,ACC-00045,2025-04-25,Debit,3227.02,Merchant 14,REF-00034
TXN-000115,ACC-00046,2025-04-26,Credit,3254.45,Merchant 15,REF-00035
TXN-000116,ACC-00047,2025-04-27,Transfer,3281.88,Merchant 16,REF-00036
TXN-000117,ACC-00048,2025-04-28,Debit,3309.31,Merchant 17,REF-00037
TXN-000118,ACC-00049,2025-04-29,Credit,3336.74,Merchant 18,REF-00038
TXN-000119,ACC-00050,2025-04-30,Transfer,3364.17,Merchant 19,REF-00039
TXN-000120,ACC-00051,2025-05-01,Debit,3391.6,Merchant 0,REF-00040
TXN-000121,ACC-00052,2025-05-02,Credit,3419.03,Merchant 1,REF-00041
TXN-000122,ACC-00053,2025-05-03,Transfer,3446.46,Merchant 2,REF-00042
TXN-000123,ACC-00054,2025-05-04,Debit,3473.89,Merchant 3,REF-00043
TXN-000124,ACC-00055,2025-05-05,Credit,3501.32,Merchant 4,REF-00044
TXN-000125,ACC-00056,2025-05-06,Transfer,3528.75,Merchant 5,REF-00045
TXN-000126,ACC-00057,2025-05-07,Debit,3556.18,Merchant 6,REF-00046
TXN-000127,ACC-00058,2025-05-08,Credit,3583.61,Merchant 7,REF-00047
TXN-000128,ACC-00059,2025-05-09,Transfer,3611.04,Merchant 8,REF-00048
TXN-000129,ACC-00060,2025-05-10,Debit,3638.47,Merchant 9,REF-00049
TXN-000130,ACC-00061,2025-05-11,Credit,3665.9,Merchant 10,REF-00050
TXN-000131,ACC-00062,2025-05-12,Transfer,3693.33,Merchant 11,REF-00051
TXN-000132,ACC-00063,2025-05-13,Debit,3720.76,Merchant 12,REF-00052
TXN-000133,ACC-00064,2025-05-14,Credit,3748.19,Merchant 13,REF-00053
TXN-000134,ACC-00065,2025-05-15,Transfer,3775.62,Merchant 14,REF-00054
TXN-000135,ACC-00066,2025-05-16,Debit,3803.05,Merchant 15,REF-00055
TXN-000136,ACC-00067,2025-05-17,Credit,3830.48,Merchant 16,REF-00056
TXN-000137,ACC-00068,2025-05-18,Transfer,3857.91,Merchant 17,REF-00057
TXN-000138,ACC-00069,2025-05-19,Debit,3885.34,Merchant 18,REF-00058
TXN-000139,ACC-00070,2025-05-20,Credit,3912.77,Merchant 19,REF-00059
TXN-000140,ACC-00001,2025-05-21,Transfer,3940.2,Merchant 0,REF-00060
TXN-000141,ACC-00002,2025-05-22,Debit,3967.63,Merchant 1,REF-00061
TXN-000142,ACC-00003,2025-05-23,Credit,3995.06,Merchant 2,REF-00062
TXN-000143,ACC-00004,2025-05-24,Transfer,4022.49,Merchant 3,REF-00063
TXN-000144,ACC-00005,2025-05-25,Debit,4049.92,Merchant 4,REF-00064
TXN-000145,ACC-00006,2025-05-26,Credit,4077.35,Merchant 5,REF-00065
TXN-000146,ACC-00007,2025-05-27,Transfer,4104.78,Merchant 6,REF-00066
TXN-000147,ACC-00008,2025-05-28,Debit,4132.21,Merchant 7,REF-00067
TXN-000148,ACC-00009,2025-05-29,Credit,4159.64,Merchant 8,REF-00068
TXN-000149,ACC-00010,2025-05-30,Transfer,4187.07,Merchant 9,REF-00069
TXN-000150,ACC-00011,2025-05-31,Debit,4214.5,Merchant 10,REF-00070
TXN-000151,ACC-00012,2025-06-01,Credit,4241.93,Merchant 11,REF-00071
TXN-000152,ACC-00013,2025-06-02,Transfer,4269.36,Merchant 12,REF-00072
TXN-000153,ACC-00014,2025-06-03,Debit,4296.79,Merchant 13,REF-00073
TXN-000154,ACC-00015,2025-06-04,Credit,4324.22,Merchant 14,REF-00074
TXN-000155,ACC-00016,2025-06-05,Transfer,4351.65,Merchant 15,REF-00075
TXN-000156,ACC-00017,2025-06-06,Debit,4379.08,Merchant 16,REF-00076
TXN-000157,ACC-00018,2025-06-07,Credit,4406.51,Merchant 17,REF-00077
TXN-000158,ACC-00019,2025-06-08,Transfer,4433.94,Merchant 18,REF-00078
TXN-000159,ACC-00020,2025-06-09,Debit,4461.37,Merchant 19,REF-00079
TXN-000160,ACC-00021,2025-06-10,Credit,4488.8,Merchant 0,REF-00000
TXN-000161,ACC-00022,2025-06-11,Transfer,4516.23,Merchant 1,REF-00001
TXN-000162,ACC-00023,2025-06-12,Debit,4543.66,Merchant 2,REF-00002
TXN-000163,ACC-00024,2025-06-13,Credit,4571.09,Merchant 3,REF-00003
TXN-000164,ACC-00025,2025-06-14,Transfer,4598.52,Merchant 4,REF-00004
TXN-000165,ACC-00026,2025-06-15,Debit,4625.95,Merchant 5,REF-00005
TXN-000166,ACC-00027,2025-06-16,Credit,4653.38,Merchant 6,REF-00006
TXN-000167,ACC-00028,2025-06-17,Transfer,4680.81,Merchant 7,REF-00007
TXN-000168,ACC-00029,2025-06-18,Debit,4708.24,Merchant 8,REF-00008
TXN-000169,ACC-00030,2025-06-19,Credit,4735.67,Merchant 9,REF-00009
TXN-000170,ACC-00031,2025-06-20,Transfer,4763.1,Merchant 10,REF-00010
TXN-000171,ACC-00032,2025-06-21,Debit,4790.53,Merchant 11,REF-00011
TXN-000172,ACC-00033,2025-06-22,Credit,4817.96,Merchant 12,REF-00012
TXN-000173,ACC-00034,2025-06-23,Transfer,4845.39,Merchant 13,REF-00013
TXN-000174,ACC-00035,2025-06-24,Debit,4872.82,Merchant 14,REF-00014
TXN-000175,ACC-00036,2025-06-25,Credit,4900.25,Merchant 15,REF-00015
TXN-000176,ACC-00037,2025-06-26,Transfer,4927.68,Merchant 16,REF-00016
TXN-000177,ACC-00038,2025-06-27,Debit,4955.11,Merchant 17,REF-00017
TXN-000178,ACC-00039,2025-06-28,Credit,4982.54,Merchant 18,REF-00018
TXN-000179,ACC-00040,2025-06-29,Transfer,5009.97,Merchant 19,REF-00019
TXN-000180,ACC-00041,2025-06-30,Debit,5037.4,Merchant 0,REF-00020
TXN-000181,ACC-00042,2025-07-01,Credit,5064.83,Merchant 1,REF-00021
TXN-000182,ACC-00043,2025-07-02,Transfer,5092.26,Merchant 2,REF-00022
TXN-000183,ACC-00044,2025-07-03,Debit,5119.69,Merchant 3,REF-00023
TXN-000184,ACC-00045,2025-07-04,Credit,5147.12,Merchant 4,REF-00024
TXN-000185,ACC-00046,2025-07-05,Transfer,5174.55,Merchant 5,REF-00025
TXN-000186,ACC-00047,2025-07-06,Debit,5201.98,Merchant 6,REF-00026
TXN-000187,ACC-00048,2025-07-07,Credit,5229.41,Merchant 7,REF-00027
TXN-000188,ACC-00049,2025-07-08,Transfer,5256.84,Merchant 8,REF-00028
TXN-000189,ACC-00050,2025-07-09,Debit,5284.27,Merchant 9,REF-00029
TXN-000190,ACC-00051,2025-07-10,Credit,5311.7,Merchant 10,REF-00030
TXN-000191,ACC-00052,2025-07-11,Transfer,5339.13,Merchant 11,REF-00031
TXN-000192,ACC-00053,2025-07-12,Debit,5366.56,Merchant 12,REF-00032
TXN-000193,ACC-00054,2025-07-13,Credit,5393.99,Merchant 13,REF-00033
TXN-000194,ACC-00055,2025-07-14,Transfer,5421.42,Merchant 14,REF-00034
TXN-000195,ACC-00056,2025-07-15,Debit,5448.85,Merchant 15,REF-00035
TXN-000196,ACC-00057,2025-07-16,Credit,5476.28,Merchant 16,REF-00036
TXN-000197,ACC-00058,2025-07-17,Transfer,5503.71,Merchant 17,REF-00037
TXN-000198,ACC-00059,2025-07-18,Debit,5531.14,Merchant 18,REF-00038
TXN-000199,ACC-00060,2025-07-19,Credit,5558.57,Merchant 19,REF-00039
TXN-000200,ACC-00061,2025-07-20,Transfer,5586.0,Merchant 0,REF-00040
TXN-000201,ACC-00062,2025-07-21,Debit,5613.43,Merchant 1,REF-00041
TXN-000202,ACC-00063,2025-07-22,Credit,5640.86,Merchant 2,REF-00042
TXN-000203,ACC-00064,2025-07-23,Transfer,5668.29,Merchant 3,REF-00043
TXN-000204,ACC-00065,2025-07-24,Debit,5695.72,Merchant 4,REF-00044
TXN-000205,ACC-00066,2025-07-25,Credit,5723.15,Merchant 5,REF-00045
TXN-000206,ACC-00067,2025-07-26,Transfer,5750.58,Merchant 6,REF-00046
TXN-000207,ACC-00068,2025-07-27,Debit,5778.01,Merchant 7,REF-00047
TXN-000208,ACC-00069,2025-07-28,Credit,5805.44,Merchant 8,REF-00048
TXN-000209,ACC-00070,2025-07-29,Transfer,5832.87,Merchant 9,REF-00049
TXN-000210,ACC-00001,2025-07-30,Debit,5860.3,Merchant 10,REF-00050
TXN-000211,ACC-00002,2025-07-31,Credit,5887.73,Merchant 11,REF-00051
TXN-000212,ACC-00003,2025-08-01,Transfer,5915.16,Merchant 12,REF-00052
TXN-000213,ACC-00004,2025-08-02,Debit,5942.59,Merchant 13,REF-00053
TXN-000214,ACC-00005,2025-08-03,Credit,5970.02,Merchant 14,REF-00054
TXN-000215,ACC-00006,2025-08-04,Transfer,5997.45,Merchant 15,REF-00055
TXN-000216,ACC-00007,2025-08-05,Debit,6024.88,Merchant 16,REF-00056
TXN-000217,ACC-00008,2025-08-06,Credit,6052.31,Merchant 17,REF-00057
TXN-000218,ACC-00009,2025-08-07,Transfer,6079.74,Merchant 18,REF-00058
TXN-000219,ACC-00010,2025-08-08,Debit,6107.17,Merchant 19,REF-00059
TXN-000220,ACC-00011,2025-08-09,Credit,6134.6,Merchant 0,REF-00060
TXN-000221,ACC-00012,2025-08-10,Transfer,6162.03,Merchant 1,REF-00061
TXN-000222,ACC-00013,2025-08-11,Debit,6189.46,Merchant 2,REF-00062
TXN-000223,ACC-00014,2025-08-12,Credit,6216.89,Merchant 3,REF-00063
TXN-000224,ACC-00015,2025-08-13,Transfer,6244.32,Merchant 4,REF-00064
TXN-000225,ACC-00016,2025-08-14,Debit,6271.75,Merchant 5,REF-00065
TXN-000226,ACC-00017,2025-08-15,Credit,6299.18,Merchant 6,REF-00066
TXN-000227,ACC-00018,2025-08-16,Transfer,6326.61,Merchant 7,REF-00067
TXN-000228,ACC-00019,2025-08-17,Debit,6354.04,Merchant 8,REF-00068
TXN-000229,ACC-00020,2025-08-18,Credit,6381.47,Merchant 9,REF-00069
TXN-000230,ACC-00021,2025-08-19,Transfer,6408.9,Merchant 10,REF-00070
TXN-000231,ACC-00022,2025-08-20,Debit,6436.33,Merchant 11,REF-00071
TXN-000232,ACC-00023,2025-08-21,Credit,6463.76,Merchant 12,REF-00072
TXN-000233,ACC-00024,2025-08-22,Transfer,6491.19,Merchant 13,REF-00073
TXN-000234,ACC-00025,2025-08-23,Debit,6518.62,Merchant 14,REF-00074
TXN-000235,ACC-00026,2025-08-24,Credit,6546.05,Merchant 15,REF-00075
TXN-000236,ACC-00027,2025-08-25,Transfer,6573.48,Merchant 16,REF-00076
TXN-000237,ACC-00028,2025-08-26,Debit,6600.91,Merchant 17,REF-00077
TXN-000238,ACC-00029,2025-08-27,Credit,6628.34,Merchant 18,REF-00078
TXN-000239,ACC-00030,2025-08-28,Transfer,6655.77,Merchant 19,REF-00079
TXN-000240,ACC-00031,2025-08-29,Debit,6683.2,Merchant 0,REF-00000
TXN-000241,ACC-00032,2025-08-30,Credit,6710.63,Merchant 1,REF-00001
TXN-000242,ACC-00033,2025-08-31,Transfer,6738.06,Merchant 2,REF-00002
TXN-000243,ACC-00034,2025-09-01,Debit,6765.49,Merchant 3,REF-00003
TXN-000244,ACC-00035,2025-09-02,Credit,6792.92,Merchant 4,REF-00004
TXN-000245,ACC-00036,2025-09-03,Transfer,6820.35,Merchant 5,REF-00005
TXN-000246,ACC-00037,2025-09-04,Debit,6847.78,Merchant 6,REF-00006
TXN-000247,ACC-00038,2025-09-05,Credit,6875.21,Merchant 7,REF-00007
TXN-000248,ACC-00039,2025-09-06,Transfer,6902.64,Merchant 8,REF-00008
TXN-000249,ACC-00040,2025-09-07,Debit,6930.07,Merchant 9,REF-00009
TXN-000250,ACC-00041,2025-09-08,Credit,6957.5,Merchant 10,REF-00010
